seed,snr_db,n_targets,sample_index,method,measurement_nmse_db,per_component_half_bin_hit,all_components_half_bin_hit,gate_pass,minimum_candidate_margin,boundary_saturation_rate,fft_support_ms,local_update_ms,grid_ls_ms,final_ls_ms,gate_decision_ms,wall_clock_ms
20260630,0.0,2,10,residual_gated_cartesian_local_joint_ls,-13.138935401753962,1.0,1,1,0.016368032088125213,0.0,1.6463,0.6719,3.9643,3.8752,0.7421,10.8897
20260630,0.0,2,10,grid_fft_topL_joint_ls,-5.475233329807958,1.0,1,0,nan,nan,1.6215,0.0,0.0,3.8078,0.0,5.4293
20260630,0.0,2,10,axiswise_quadratic_peak_joint_ls,-6.183346129776992,1.0,1,0,nan,nan,1.6192,1.5754,0.0,4.0293,0.0,7.2373
20260630,0.0,2,10,axiswise_candan_joint_ls,-40.562485838539494,1.0,1,0,nan,nan,1.7114,1.557,0.0,3.9285,0.0,7.196899999999999
20260630,0.0,2,11,one_step_fixed_support_newton_joint_ls,-9.880633732946206,1.0,1,0,nan,nan,1.6975,11.0981,0.0,4.1192,0.0,16.8367
20260630,0.0,2,11,cartesian_local_joint_ls,-13.782844035830022,1.0,1,0,0.004842118208831173,0.0,1.6725,0.6154,0.0,3.8503,0.0,6.2148
20260630,0.0,2,11,residual_gated_cartesian_local_joint_ls,-13.782844035830022,1.0,1,1,0.004842118208831173,0.0,1.782,0.648,3.9557,3.8854,0.7243,11.041800000000002
20260630,0.0,2,11,grid_fft_topL_joint_ls,-6.876795701277503,1.0,1,0,nan,nan,1.6645,0.0,0.0,3.8363,0.0,5.4861
20260630,0.0,2,11,axiswise_quadratic_peak_joint_ls,-7.269656823277174,1.0,1,0,nan,nan,1.6694,1.5959,0.0,4.1166,0.0,7.4158
20260630,0.0,2,11,axiswise_candan_joint_ls,-41.05582383731631,1.0,1,0,nan,nan,1.714,1.6047,0.0,3.9708,0.0,7.2905
20260630,0.0,2,11,residual_gated_candan_joint_ls,-41.05582383731631,1.0,1,1,nan,nan,1.6836,1.7576,4.1083,4.0286,0.7233,12.3305
20260630,0.0,2,12,cartesian_local_joint_ls,-7.392465918919283,0.5,0,0,0.00014611818743934986,0.3333333333333333,1.6441,0.5955,0.0,3.9813,0.0,6.2168
20260630,0.0,2,12,residual_gated_cartesian_local_joint_ls,-7.392465918919283,0.5,0,1,0.00014611818743934986,0.3333333333333333,1.6631,0.6253,3.9329,3.9033,0.7396,10.791699999999999
20260630,0.0,2,12,grid_fft_topL_joint_ls,-5.345525472120739,0.5,0,0,nan,nan,1.6806,0.0,0.0,4.0948,0.0,5.7754
20260630,0.0,2,12,axiswise_quadratic_peak_joint_ls,-6.139329516114654,0.5,0,0,nan,nan,1.7035,1.6109,0.0,4.0818,0.0,7.464700000000001
20260630,0.0,2,12,axiswise_candan_joint_ls,-9.363254574709295,0.5,0,0,nan,nan,1.6661,1.5616,0.0,3.9274,0.0,7.1551
20260630,0.0,2,12,residual_gated_candan_joint_ls,-9.363254574709295,0.5,0,1,nan,nan,1.7184,1.6422,3.9397,4.0897,0.7382,12.0838
20260630,0.0,2,12,one_step_fixed_support_newton_joint_ls,-8.408078116489653,0.5,0,0,nan,nan,1.6515,12.1897,0.0,4.1162,0.0,17.9574
20260630,0.0,2,13,residual_gated_cartesian_local_joint_ls,-14.656558082153516,1.0,1,1,0.01739631879871211,0.0,1.6797,0.6666,3.9107,3.7871,0.7533,10.849899999999998
20260630,0.0,2,13,grid_fft_topL_joint_ls,-3.3304823185891386,1.0,1,0,nan,nan,1.7951,0.0,0.0,4.1345,0.0,5.9314
