split,seed,snr_db,n_targets,sample_index,search_radius,measurement_nmse_db,gain_vs_grid_db,per_component_half_bin_hit,harmful_update,candidate_axis_correctness,boundary_saturation_rate,minimum_candidate_margin
validation,20260808,0.0,2,8,0.45,-10.936536322274016,6.273732284363741,0.5,0.0,0.5,0.3333333333333333,0.056584000872082194
validation,20260808,0.0,2,8,0.5,-9.402366829382718,4.739562791472443,0.5,0.0,0.5,0.3333333333333333,0.04324783421667345
validation,20260808,0.0,2,8,0.55,-8.67576141106854,4.012957373158266,0.5,0.0,0.5,0.3333333333333333,0.025556099616866473
validation,20260808,0.0,2,9,0.25,-13.322645469895718,10.132127122567283,1.0,0.0,1.0,0.8333333333333334,0.021145687541569345
validation,20260808,0.0,2,9,0.35,-14.201163845502478,11.010645498174043,1.0,0.0,1.0,0.16666666666666666,0.02164695213601742
validation,20260808,0.0,2,9,0.45,-19.621780737644745,16.43126239031631,1.0,0.0,1.0,0.16666666666666666,0.03203738894086596
validation,20260808,0.0,2,9,0.5,-16.763995422275983,13.573477074947547,1.0,0.0,1.0,0.16666666666666666,0.01576952707849514
validation,20260808,0.0,2,9,0.55,-13.724471979989843,10.533953632661408,1.0,0.0,1.0,0.16666666666666666,0.004813204099231792
validation,20260808,0.0,2,10,0.25,-12.884869129374918,9.264604211467478,1.0,0.0,1.0,0.3333333333333333,0.017083557163616567
validation,20260808,0.0,2,10,0.35,-19.420507053959565,15.800242136052125,1.0,0.0,1.0,0.3333333333333333,0.04497371249294792
validation,20260808,0.0,2,10,0.45,-12.369613629833385,8.749348711925945,1.0,0.0,1.0,0.3333333333333333,0.0018976816415812797
validation,20260808,0.0,2,10,0.5,-10.625802987703462,7.005538069796023,1.0,0.0,1.0,0.16666666666666666,0.0040612244894619835
validation,20260808,0.0,2,10,0.55,-10.008404759183428,6.388139841275988,1.0,0.0,1.0,0.0,0.004939092761838928
validation,20260808,0.0,2,11,0.25,-9.674283276058242,7.1664849105755275,1.0,0.0,1.0,0.5,0.014819344059292036
validation,20260808,0.0,2,11,0.35,-13.32404332911032,10.816244963627607,1.0,0.0,1.0,0.5,0.0034962360982979854
validation,20260808,0.0,2,11,0.45,-15.1021539822905,12.594355616807785,1.0,0.0,1.0,0.3333333333333333,0.027423719191198126
validation,20260808,0.0,2,11,0.5,-12.703896679781689,10.196098314298975,1.0,0.0,1.0,0.3333333333333333,0.0020476733670460588
validation,20260808,0.0,2,11,0.55,-11.46797658421088,8.960178218728167,1.0,0.0,1.0,0.16666666666666666,0.011941174914539797
validation,20260808,0.0,2,12,0.25,-12.532685300521019,9.002278715307577,1.0,0.0,1.0,0.5,0.0054128159847950915
validation,20260808,0.0,2,12,0.35,-13.982959833550332,10.45255324833689,1.0,0.0,1.0,0.5,0.001863382103671358
validation,20260808,0.0,2,12,0.45,-11.975565351406413,8.445158766192971,1.0,0.0,1.0,0.3333333333333333,0.004486467171000478
validation,20260808,0.0,2,12,0.5,-11.259230663493383,7.728824078279942,1.0,0.0,1.0,0.16666666666666666,0.025230696001724905
validation,20260808,0.0,2,12,0.55,-11.682150673853847,8.151744088640406,1.0,0.0,1.0,0.0,0.037013883868957514
validation,20260808,0.0,2,13,0.25,-11.292182060759933,8.184501273050849,1.0,0.0,1.0,0.5,0.0071209485055064425
validation,20260808,0.0,2,13,0.35,-17.95456143047866,14.846880642769575,1.0,0.0,1.0,0.3333333333333333,0.03343314053988979
validation,20260808,0.0,2,13,0.45,-13.799855882987194,10.69217509527811,1.0,0.0,1.0,0.3333333333333333,0.007404090927183779
validation,20260808,0.0,2,13,0.5,-10.962931373423972,7.855250585714888,1.0,0.0,1.0,0.3333333333333333,0.006820482118167514
validation,20260808,0.0,2,13,0.55,-9.749570602991058,6.641889815281974,1.0,0.0,1.0,0.0,0.008585488843240155
validation,20260808,0.0,2,14,0.25,-13.231445896181969,10.855297034848789,0.5,0.0,0.8333333333333334,1.0,0.05982488390252337
validation,20260808,0.0,2,14,0.35,-19.692280440797166,17.316131579463985,0.5,0.0,0.8333333333333334,0.8333333333333334,0.00031325805990744084
validation,20260808,0.0,2,14,0.45,-14.302960996850999,11.92681213551782,0.5,0.0,0.6666666666666666,0.6666666666666666,0.02903899206301334
validation,20260808,0.0,2,14,0.5,-12.453170396829677,10.077021535496497,0.5,0.0,0.5,0.3333333333333333,0.02875204625723714
validation,20260808,0.0,2,14,0.55,-15.950899078491119,13.57475021715794,0.5,0.0,0.5,0.3333333333333333,0.026088371167862053
validation,20260808,0.0,2,15,0.25,-8.646259043324772,6.702510738656377,1.0,0.0,1.0,0.8333333333333334,0.04251174084411271
validation,20260808,0.0,2,15,0.35,-12.678931169866559,10.735182865198164,1.0,0.0,1.0,0.6666666666666666,0.008147416408817184
validation,20260808,0.0,2,15,0.45,-15.711553725238165,13.76780542056977,1.0,0.0,1.0,0.3333333333333333,0.040046444714389784
validation,20260808,0.0,2,15,0.5,-16.03158387283132,14.087835568162925,1.0,0.0,1.0,0.3333333333333333,0.054992464363660815
validation,20260808,0.0,2,15,0.55,-13.760901371318104,11.817153066649709,1.0,0.0,1.0,0.16666666666666666,0.006758859691451384
validation,20260808,0.0,2,16,0.25,-5.435259315900705,2.839832225171163,0.5,0.0,0.5,0.6666666666666666,0.039553682282838405
validation,20260808,0.0,2,16,0.35,-5.408329775237304,2.812902684507762,0.5,0.0,0.5,0.6666666666666666,0.026618775987875102
validation,20260808,0.0,2,16,0.45,-5.435706687689981,2.840279596960439,0.5,0.0,0.5,0.3333333333333333,0.07317934367539647
validation,20260808,0.0,2,16,0.5,-5.342250202475675,2.7468231117461333,0.5,0.0,0.5,0.3333333333333333,0.08610933867087807
validation,20260808,0.0,2,16,0.55,-5.564057793673532,2.9686307029439902,0.5,0.0,0.5,0.3333333333333333,0.029739255240360835
validation,20260808,0.0,2,17,0.25,-13.457410900361024,5.317900984048144,0.5,0.0,0.5,0.3333333333333333,0.01626174491423953
validation,20260808,0.0,2,17,0.35,-13.33800180973796,5.19849189342508,0.5,0.0,0.5,0.3333333333333333,0.015843292484938005
validation,20260808,0.0,2,17,0.45,-13.448271177262317,5.308761260949437,0.5,0.0,0.5,0.16666666666666666,0.08779116887101077
validation,20260808,0.0,2,17,0.5,-13.481104865820486,5.341594949507606,0.5,0.0,0.5,0.16666666666666666,0.1322073368548551
validation,20260808,0.0,2,17,0.55,-13.487724475880036,5.348214559567156,0.5,0.0,0.5,0.16666666666666666,0.16486532440300364
validation,20260808,0.0,2,18,0.25,-4.094535859298858,1.7632206104344808,0.5,0.0,0.5,0.6666666666666666,0.00733626494492228
validation,20260808,0.0,2,18,0.35,-4.2393296448332265,1.908014395968849,0.5,0.0,0.5,0.3333333333333333,0.07063272259821814
validation,20260808,0.0,2,18,0.45,-4.172662234710749,1.8413469858463718,0.5,0.0,0.5,0.3333333333333333,0.047209129520956745
validation,20260808,0.0,2,18,0.5,-4.056314000065751,1.7249987512013738,0.5,0.0,0.5,0.16666666666666666,0.00892894864066783
validation,20260808,0.0,2,18,0.55,-3.895536846494969,1.5642215976305915,0.5,0.0,0.5,0.16666666666666666,0.06961444933396052
validation,20260808,0.0,2,19,0.25,-5.412418366120385,1.898390387279051,0.5,0.0,0.5,0.3333333333333333,0.0079210739531774
validation,20260808,0.0,2,19,0.35,-5.536535340381759,2.0225073615404248,0.5,0.0,0.5,0.3333333333333333,0.07964532010290179
validation,20260808,0.0,2,19,0.45,-5.431678109179799,1.917650130338465,0.5,0.0,0.5,0.3333333333333333,0.013523649316969012
validation,20260808,0.0,2,19,0.5,-5.325682577641252,1.8116545987999175,0.5,0.0,0.5,0.16666666666666666,0.04533114630524171
validation,20260808,0.0,2,19,0.55,-5.179945946511961,1.665917967670627,0.5,0.0,0.5,0.16666666666666666,0.06437023580447876
validation,20260808,0.0,4,0,0.25,-7.681632425624599,3.757832845255777,0.5,0.0,0.5833333333333334,0.75,0.011395558928718855
validation,20260808,0.0,4,0,0.35,-8.032602943067339,4.1088033626985165,0.5,0.0,0.5833333333333334,0.5,0.0029177384090861855
validation,20260808,0.0,4,0,0.45,-8.066395774326416,4.142596193957594,0.5,0.0,0.5,0.3333333333333333,0.03197631136811627
validation,20260808,0.0,4,0,0.5,-7.943090059581691,4.019290479212869,0.5,0.0,0.5,0.25,0.025560853417801635
