split,seed,snr_db,n_targets,sample_index,truth_index,axis,method,absolute_true_offset,offset_bucket,absolute_bin_error,half_bin_axis_hit,candidate_axis_correct
validation,20260808,0.0,2,3,1,delay,one_step_fixed_support_newton_joint_ls,0.24290365954455795,"[0.20,0.30)",0.20709634045544334,1.0,nan
validation,20260808,0.0,2,3,1,doppler,one_step_fixed_support_newton_joint_ls,0.17146817801527692,"[0.10,0.20)",0.1631136985409789,1.0,nan
validation,20260808,0.0,2,3,0,angle,cartesian_local_joint_ls,0.38951254536792956,"[0.30,0.40)",0.06048745463206728,1.0,1.0
validation,20260808,0.0,2,3,0,delay,cartesian_local_joint_ls,0.3661794035288275,"[0.30,0.40)",0.08382059647117401,1.0,1.0
validation,20260808,0.0,2,3,0,doppler,cartesian_local_joint_ls,0.45254297739274907,"[0.40,0.49]",0.00254297739274989,1.0,1.0
validation,20260808,0.0,2,3,1,angle,cartesian_local_joint_ls,0.16774509558718048,"[0.10,0.20)",0.05725490441282233,1.0,1.0
validation,20260808,0.0,2,3,1,delay,cartesian_local_joint_ls,0.24290365954455795,"[0.20,0.30)",0.01790365954455808,1.0,1.0
validation,20260808,0.0,2,3,1,doppler,cartesian_local_joint_ls,0.17146817801527692,"[0.10,0.20)",0.05353182198472339,1.0,1.0
validation,20260808,0.0,2,4,0,angle,grid_fft_topL_joint_ls,0.19250562549491657,"[0.10,0.20)",0.1925056254949169,1.0,nan
validation,20260808,0.0,2,4,0,delay,grid_fft_topL_joint_ls,0.045155644378574666,"[0.00,0.10)",0.04515564437857478,1.0,nan
validation,20260808,0.0,2,4,0,doppler,grid_fft_topL_joint_ls,0.4749677288929283,"[0.40,0.49]",0.4749677288929277,1.0,nan
validation,20260808,0.0,2,4,1,angle,grid_fft_topL_joint_ls,0.1389208736429493,"[0.10,0.20)",0.13892087364294525,1.0,nan
validation,20260808,0.0,2,4,1,delay,grid_fft_topL_joint_ls,0.030339847131631736,"[0.00,0.10)",0.03033984713163207,1.0,nan
validation,20260808,0.0,2,4,1,doppler,grid_fft_topL_joint_ls,0.015493608373936874,"[0.00,0.10)",0.015493608373937207,1.0,nan
validation,20260808,0.0,2,4,0,angle,axiswise_quadratic_peak_joint_ls,0.19250562549491657,"[0.10,0.20)",0.18394160775982016,1.0,nan
validation,20260808,0.0,2,4,0,delay,axiswise_quadratic_peak_joint_ls,0.045155644378574666,"[0.00,0.10)",0.0453426469042153,1.0,nan
validation,20260808,0.0,2,4,0,doppler,axiswise_quadratic_peak_joint_ls,0.4749677288929283,"[0.40,0.49]",0.13712247878856587,1.0,nan
validation,20260808,0.0,2,4,1,angle,axiswise_quadratic_peak_joint_ls,0.1389208736429493,"[0.10,0.20)",0.13544285414732826,1.0,nan
validation,20260808,0.0,2,4,1,delay,axiswise_quadratic_peak_joint_ls,0.030339847131631736,"[0.00,0.10)",0.030407067696032186,1.0,nan
validation,20260808,0.0,2,4,1,doppler,axiswise_quadratic_peak_joint_ls,0.015493608373936874,"[0.00,0.10)",0.015452649950184139,1.0,nan
validation,20260808,0.0,2,4,0,angle,axiswise_candan_joint_ls,0.19250562549491657,"[0.10,0.20)",0.006357060369367673,1.0,nan
validation,20260808,0.0,2,4,0,delay,axiswise_candan_joint_ls,0.045155644378574666,"[0.00,0.10)",0.00443789956304208,1.0,nan
validation,20260808,0.0,2,4,0,doppler,axiswise_candan_joint_ls,0.4749677288929283,"[0.40,0.49]",0.0035516918580498213,1.0,nan
validation,20260808,0.0,2,4,1,angle,axiswise_candan_joint_ls,0.1389208736429493,"[0.10,0.20)",0.001952643848753155,1.0,nan
validation,20260808,0.0,2,4,1,delay,axiswise_candan_joint_ls,0.030339847131631736,"[0.00,0.10)",0.002373368474670734,1.0,nan
validation,20260808,0.0,2,4,1,doppler,axiswise_candan_joint_ls,0.015493608373936874,"[0.00,0.10)",0.000714762527721291,1.0,nan
validation,20260808,0.0,2,4,0,angle,one_step_fixed_support_newton_joint_ls,0.19250562549491657,"[0.10,0.20)",0.1925056254949169,1.0,nan
validation,20260808,0.0,2,4,0,delay,one_step_fixed_support_newton_joint_ls,0.045155644378574666,"[0.00,0.10)",0.04515564437857478,1.0,nan
validation,20260808,0.0,2,4,0,doppler,one_step_fixed_support_newton_joint_ls,0.4749677288929283,"[0.40,0.49]",0.4749677288929277,1.0,nan
validation,20260808,0.0,2,4,1,angle,one_step_fixed_support_newton_joint_ls,0.1389208736429493,"[0.10,0.20)",0.018668472057626673,1.0,nan
validation,20260808,0.0,2,4,1,delay,one_step_fixed_support_newton_joint_ls,0.030339847131631736,"[0.00,0.10)",0.003681634874807216,1.0,nan
validation,20260808,0.0,2,4,1,doppler,one_step_fixed_support_newton_joint_ls,0.015493608373936874,"[0.00,0.10)",0.0015201975468457363,1.0,nan
validation,20260808,0.0,2,4,0,angle,cartesian_local_joint_ls,0.19250562549491657,"[0.10,0.20)",0.03249437450507742,1.0,1.0
validation,20260808,0.0,2,4,0,delay,cartesian_local_joint_ls,0.045155644378574666,"[0.00,0.10)",0.04515564437857478,1.0,1.0
validation,20260808,0.0,2,4,0,doppler,cartesian_local_joint_ls,0.4749677288929283,"[0.40,0.49]",0.02496772889292842,1.0,1.0
validation,20260808,0.0,2,4,1,angle,cartesian_local_joint_ls,0.1389208736429493,"[0.10,0.20)",0.08607912635704906,1.0,1.0
validation,20260808,0.0,2,4,1,delay,cartesian_local_joint_ls,0.030339847131631736,"[0.00,0.10)",0.03033984713163207,1.0,1.0
validation,20260808,0.0,2,4,1,doppler,cartesian_local_joint_ls,0.015493608373936874,"[0.00,0.10)",0.015493608373937207,1.0,1.0
validation,20260808,0.0,2,5,0,angle,grid_fft_topL_joint_ls,0.22797567872555524,"[0.20,0.30)",0.22797567872555646,1.0,nan
validation,20260808,0.0,2,5,0,delay,grid_fft_topL_joint_ls,0.0005942786183298909,"[0.00,0.10)",0.0005942786183297244,1.0,nan
validation,20260808,0.0,2,5,0,doppler,grid_fft_topL_joint_ls,0.3806354555514143,"[0.30,0.40)",0.3806354555514151,1.0,nan
validation,20260808,0.0,2,5,1,angle,grid_fft_topL_joint_ls,0.3065346731293991,"[0.30,0.40)",0.30653467312940563,1.0,nan
validation,20260808,0.0,2,5,1,delay,grid_fft_topL_joint_ls,0.04127440036310426,"[0.00,0.10)",0.041274400363104036,1.0,nan
validation,20260808,0.0,2,5,1,doppler,grid_fft_topL_joint_ls,0.12151131251050257,"[0.10,0.20)",0.12151131251050273,1.0,nan
validation,20260808,0.0,2,5,0,angle,axiswise_quadratic_peak_joint_ls,0.22797567872555524,"[0.20,0.30)",0.21568727466291193,1.0,nan
validation,20260808,0.0,2,5,0,delay,axiswise_quadratic_peak_joint_ls,0.0005942786183298909,"[0.00,0.10)",0.0005924185770496138,1.0,nan
validation,20260808,0.0,2,5,0,doppler,axiswise_quadratic_peak_joint_ls,0.3806354555514143,"[0.30,0.40)",0.2857561873996364,1.0,nan
validation,20260808,0.0,2,5,1,angle,axiswise_quadratic_peak_joint_ls,0.3065346731293991,"[0.30,0.40)",0.26486312525135247,1.0,nan
validation,20260808,0.0,2,5,1,delay,axiswise_quadratic_peak_joint_ls,0.04127440036310426,"[0.00,0.10)",0.041197200712487,1.0,nan
validation,20260808,0.0,2,5,1,doppler,axiswise_quadratic_peak_joint_ls,0.12151131251050257,"[0.10,0.20)",0.11969740011625163,1.0,nan
validation,20260808,0.0,2,5,0,angle,axiswise_candan_joint_ls,0.22797567872555524,"[0.20,0.30)",0.0051352499521755135,1.0,nan
