split,seed,snr_db,n_targets,sample_index,dynamic_range_db,minimum_true_separation_bins,coarse_design_condition,refined_design_condition,refined_collision_rate,candidate_axis_correctness,minimum_candidate_margin,mean_candidate_margin,boundary_saturation_rate,residual_reduction_fraction,local_gain_vs_grid_db,harmful_local_update,q_sup,duplicate_neighborhood_rate,coarse_mean_absolute_bin_error,coarse_maximum_absolute_bin_error,theory_ratio_min,theory_ratio_mean,theory_condition_fraction,theory_any_component_condition,theory_all_components_condition,noiseless_candidate_gap_min,interference_envelope_max,noise_envelope,theory_eta,grid_fft_topL_joint_ls_nmse_db,grid_fft_topL_joint_ls_per_component_half_bin_hit,grid_fft_topL_joint_ls_all_components_half_bin_hit,axiswise_quadratic_peak_joint_ls_nmse_db,axiswise_quadratic_peak_joint_ls_per_component_half_bin_hit,axiswise_quadratic_peak_joint_ls_all_components_half_bin_hit,axiswise_candan_joint_ls_nmse_db,axiswise_candan_joint_ls_per_component_half_bin_hit,axiswise_candan_joint_ls_all_components_half_bin_hit,one_step_fixed_support_newton_joint_ls_nmse_db,one_step_fixed_support_newton_joint_ls_per_component_half_bin_hit,one_step_fixed_support_newton_joint_ls_all_components_half_bin_hit,cartesian_local_joint_ls_nmse_db,cartesian_local_joint_ls_per_component_half_bin_hit,cartesian_local_joint_ls_all_components_half_bin_hit,gate_pass,gated_gain_vs_grid_db,residual_gated_cartesian_local_joint_ls_nmse_db,residual_gated_cartesian_local_joint_ls_per_component_half_bin_hit,residual_gated_cartesian_local_joint_ls_all_components_half_bin_hit
validation,20260808,0.0,4,0,10.09573919045524,12.285075958647516,1.0,4.696234876033187,0.0,0.5,0.03197631136811627,0.07869084709794924,0.3333333333333333,0.1239677935518001,4.142596193957594,0.0,0.5,0.5,10.345834659690789,63.77233844709957,2.5413318823215333e-09,0.47307052362661856,0.25,1.0,0.0,7.495574624074149e-09,1.4509087656621713,0.023824754232692376,0.05,-3.923799580368822,0.5,0.0,-4.576121595243108,0.5,0.0,-8.360876101806923,0.5,0.0,-4.157866573287508,0.5,0.0,-8.066395774326416,0.5,0.0,1,4.142596193957594,-8.066395774326416,0.5,0.0
validation,20260808,0.0,4,1,20.589908255021278,7.75359502501499,1.0000000000000004,11.014159368456024,0.16666666666666666,0.5833333333333334,0.040304205888446305,0.06886694473080782,0.16666666666666666,0.16813523227729477,11.136760509362976,0.0,0.25,0.25,2.9905959597352485,14.426645586639399,3.9199000008721766e-07,0.3410323469642982,0.0,0.0,0.0,1.5048080624351693e-06,1.8836920147187877,0.03575498915930844,0.05,-4.4108085793208085,0.25,0.0,-5.584005565365838,0.5,0.0,-24.376917267457166,0.5,0.0,-4.71497391777857,0.25,0.0,-15.547569088683783,0.5,0.0,1,11.136760509362976,-15.547569088683783,0.5,0.0
validation,20260808,0.0,4,2,11.756632848579919,9.778045133738507,1.0000000000000002,11.013856758326897,0.16666666666666666,0.75,0.008817235441917941,0.017396980253188504,0.4166666666666667,0.20670153546960146,8.302793984154846,0.0,0.75,0.25,1.2869438280036907,8.315312655821486,5.061768346649233e-06,0.16125858264748086,0.0,0.0,0.0,1.474311021078408e-05,1.4294549894799,0.026865134350308247,0.05,-3.1363352775778344,0.75,0.0,-4.133861616010478,0.75,0.0,-15.135540498797788,0.75,0.0,-4.186646115912607,0.75,0.0,-11.439129261732681,0.75,0.0,1,8.302793984154846,-11.439129261732681,0.75,0.0
validation,20260808,0.0,4,3,2.4918043275470603,15.639212910838333,1.0000000000000002,1.0001741495485337,0.0,0.9166666666666666,0.00020814400599131425,0.024740263357790747,0.5833333333333334,0.31217943599404074,12.14005336910867,0.0,1.0,0.0,0.3101219256337024,0.4309877123142982,0.01759123309126831,0.33845820637095547,0.0,0.0,0.0,0.0007665943930318386,0.0003178389258517158,0.02147126446032165,0.05,-1.7692984584142115,1.0,1.0,-3.2188288951430795,1.0,1.0,-35.901716629682795,1.0,1.0,-1.7692984584142115,1.0,1.0,-13.909351827522883,1.0,1.0,1,12.14005336910867,-13.909351827522883,1.0,1.0
validation,20260808,0.0,4,4,12.533638439295299,7.035673804809801,1.0000000000000002,11.013959668261261,0.16666666666666666,0.75,0.01791583874314258,0.04696551671700212,0.25,0.13072179058819544,6.981881003527716,0.0,0.5,0.25,3.9187676156987634,26.623827924226802,1.0984570633453639e-07,0.2949413705689438,0.0,0.0,0.0,3.1829838637103924e-07,1.4269069148774263,0.021936180553440193,0.05,-4.854865009864193,0.5,0.0,-7.288278640580312,0.75,0.0,-14.68947371671743,0.75,0.0,-6.794349273231306,0.5,0.0,-11.83674601339191,0.75,0.0,1,6.981881003527716,-11.83674601339191,0.75,0.0
validation,20260808,0.0,4,5,7.474669609626588,21.739994816057102,1.0000000000000002,11.01385674012351,0.16666666666666666,0.75,0.020554238816287807,0.04073507108928821,0.16666666666666666,0.16435444031994118,5.569327629307658,0.0,0.75,0.25,4.954324724244251,50.10146195790114,1.9884951113542057e-06,0.39037511638785327,0.0,0.0,0.0,5.9379719598028654e-06,1.4678745632831245,0.025207296938041728,0.05,-3.447315135004967,0.75,0.0,-4.7382620474119,0.75,0.0,-10.373764169527803,0.75,0.0,-4.019813884477197,0.75,0.0,-9.016642764312625,0.75,0.0,1,5.569327629307658,-9.016642764312625,0.75,0.0
validation,20260808,0.0,4,6,3.4912963296739834,16.034541717429455,1.0000000000000002,1.0008904181301035,0.0,1.0,0.02060233328010177,0.03639070962798235,0.08333333333333333,0.187514245733006,8.971361511372518,0.0,1.0,0.0,0.19632273171002948,0.37698151509411737,0.14299294079166586,0.3680205218809839,0.0,0.0,0.0,0.005451845296198132,0.0011248818021086402,0.017938455401862917,0.05,-3.6859916600346843,1.0,1.0,-4.686797859473616,1.0,1.0,-33.75937517357776,1.0,1.0,-5.29467821343631,1.0,1.0,-12.657353171407202,1.0,1.0,1,8.971361511372518,-12.657353171407202,1.0,1.0
validation,20260808,0.0,4,7,8.735179263164573,7.92447728772301,1.0,16.42436169745939,0.5,0.5833333333333334,0.023933603043154724,0.026051833186392925,0.5833333333333334,0.14108485776582036,2.7917561973853933,0.0,0.5,0.5,3.403145614087812,20.710588145562838,4.172314562194602e-07,0.1374715808485016,0.0,0.0,0.0,9.905403825100496e-07,1.1673745813455667,0.019664851737151233,0.05,-2.213602403572754,0.5,0.0,-3.3968758831714734,0.5,0.0,-5.370129649063004,0.5,0.0,-2.213602403572754,0.5,0.0,-5.005358600958147,0.5,0.0,1,2.7917561973853933,-5.005358600958147,0.5,0.0
validation,20260808,0.0,4,8,31.447799639527805,22.93984625685617,1.0000000000000002,13.124557553886842,0.16666666666666666,0.25,0.007408504893139899,0.041527285239166004,0.4166666666666667,0.17287109041464177,6.2413482600543695,0.0,0.0,0.5,10.471359138454341,43.56513489908967,2.444397586702015e-09,0.22970590053177373,0.0,0.0,0.0,9.466235295227503e-09,2.0972372841786417,0.03017749869817023,0.05,-3.479521716515375,0.0,0.0,-4.830457315841925,0.0,0.0,-10.175528719047225,0.25,0.0,-3.479521716515375,0.0,0.0,-9.720869976569745,0.25,0.0,1,6.2413482600543695,-9.720869976569745,0.25,0.0
validation,20260808,0.0,4,9,17.29060746907287,7.033465817532179,1.0000000000000004,11.01388451935837,0.3333333333333333,0.5,0.013034519015855948,0.01744333129529237,0.3333333333333333,0.10417108753400683,3.9598445788049306,0.0,0.5,0.5,5.470235206640086,36.758494713450375,1.2778211376868709e-06,0.11193447212462215,0.0,0.0,0.0,2.4250536296066265e-06,0.932054945895453,0.017375959606127294,0.05,-4.555499960508361,0.5,0.0,-6.311173766252901,0.5,0.0,-9.593585619375528,0.5,0.0,-4.555499960508361,0.5,0.0,-8.515344539313292,0.5,0.0,1,3.9598445788049306,-8.515344539313292,0.5,0.0
