seed,snr_db,l_value,mean_delay_alpha,mean_angle_alpha,mean_grid_nmse_db,mean_model_nmse_db,mean_grid_delay_rmse_bins,mean_model_delay_rmse_bins,mean_grid_angle_rmse_bins,mean_model_angle_rmse_bins,mean_local_grid_delay_rmse_bins,mean_local_model_delay_rmse_bins,mean_local_grid_angle_rmse_bins,mean_local_model_angle_rmse_bins
20260627.0,0.0,4.0,0.827230035646508,0.8963460912750177,-6.877598385565546,-10.646296856839715,4.474267237269955,4.478196119161254,0.4449811405636524,0.410601985724838,0.23784364301168404,0.15807117918920005,0.21333870007617378,0.11922402322482056
20260627.0,0.0,8.0,0.8151439693593969,0.9070683408012448,-6.490982128200109,-9.565154554834116,5.9312773935042795,5.938365276844617,0.7334867007902833,0.7007400041719247,0.24821942472288808,0.1153671294247074,0.16764771883926644,0.07557821986322194
20260627.0,0.0,16.0,0.777069478959417,0.8612234169224351,-4.6273976387776425,-6.22904486191027,3.9608030456682544,3.968319193282901,0.7768770648633272,0.7917093083427904,0.22987546082460175,0.13068417134461796,0.2753475221939153,0.14640721359556727
20260627.0,10.0,4.0,0.9008516947160143,1.0129156158170556,-7.413170742312335,-11.96147287669156,6.618759191308336,6.616814053359649,0.4396858671086757,0.377597564699361,0.13721929438110847,0.0848305482333102,0.2665144181595147,0.0883591187174284
20260627.0,10.0,8.0,0.8554484206819318,0.9371350926698858,-7.036595242867589,-12.27384559253741,4.468124105772988,4.482327536714038,0.5646147965638468,0.5641777190233115,0.24609084458579064,0.12340944766975387,0.25730196068298217,0.09993150613980706
20260627.0,10.0,16.0,0.8553628117281756,0.9013696963727678,-7.479624492477149,-11.14121460160371,4.536671109307264,4.5280659541425825,0.7520126124402855,0.7557037058499982,0.23246954291984095,0.15562269175253168,0.2751942887570275,0.16007421949493622
20260627.0,20.0,4.0,0.8813414935474154,0.9597330951801853,-7.466169980271706,-14.187646441088878,3.60596843298681,3.5681541991696815,0.32148594844256445,0.2793480039601041,0.1897388263456986,0.08879478518858026,0.2088751486606101,0.06704201775886323
20260627.0,20.0,8.0,0.926974644832246,0.9741807489179198,-7.524207276125048,-13.085585969430003,4.674146610242534,4.738224968946792,0.49170716570502593,0.4559337863715426,0.3085502267152175,0.12591945833803073,0.18917443234154957,0.10833533888081295
20260627.0,20.0,16.0,0.7968579839033281,0.8704297845580347,-8.098266221536392,-12.630091164862787,3.344682839467306,3.3633121495587166,0.7231438002484836,0.7291859776671085,0.22819107091183655,0.15806969066944818,0.3166034476048244,0.1777651149401554
20260627.0,30.0,4.0,0.9531840428148126,1.0141476156255689,-8.444132172853337,-14.192642490675695,1.9993318230308335,1.9484572388214045,0.33391698551502547,0.3093817418743128,0.19802144651933962,0.07523009024000628,0.20077971796461216,0.094611172168301
20260627.0,30.0,8.0,0.8658450422323909,0.949312508839815,-7.887658240147045,-12.871555869958494,5.315448853281065,5.3793521997203815,0.6421776719090396,0.6264828618564801,0.21874400502810276,0.18699886431530355,0.23224439772488004,0.11503114140572182
20260627.0,30.0,16.0,0.8359805604096138,0.8838918204306402,-7.7594538355426925,-12.169149529876606,4.1477746644552855,4.200812357540546,0.7558825866711281,0.7601685827794005,0.26322673682079,0.16479260913139598,0.2417453613603378,0.1655736049208198
20260628.0,0.0,4.0,1.0461724173815785,0.9399656071372391,-7.278751552191981,-11.76222052201499,4.7105834290981266,4.717756439362198,0.39868398677850597,0.3882200915893884,0.23090846005365698,0.11801429216609947,0.1942739224906447,0.12530741548578817
20260628.0,0.0,8.0,1.0246178203887368,0.9072397145600248,-6.158773474815698,-8.701616883386013,4.594106560365561,4.5787945013636095,0.5865379849348686,0.5740071497403549,0.23328371930961503,0.11576727203960742,0.15599348522313775,0.10702043107522319
20260628.0,0.0,16.0,0.8485455080112804,0.7329986502332682,-4.486608734919157,-5.679034315948867,4.917220189925388,4.951041870487262,0.8396044591128573,0.8440803599188176,0.32499278293167877,0.18426162763198933,0.3262486499411942,0.2217158878861942
20260628.0,10.0,4.0,0.8884643668929425,0.9373959324482025,-6.514822240613006,-13.310714310177998,1.716160850665025,1.676585403376298,0.2906822624874197,0.2423331005093905,0.2565887435566764,0.10063661470957934,0.20010397115569234,0.06996195732789215
20260628.0,10.0,8.0,0.8669602002097258,0.829850401821173,-8.226733033322613,-14.15738387386039,5.071888322292212,5.095334138926848,0.6173589048385228,0.5845141620343621,0.29579532493925065,0.14567643393658908,0.15455924692899736,0.08827280256439145
20260628.0,10.0,16.0,0.8445487627377918,0.8710191927890842,-7.5240249558946415,-11.621812248946396,3.4554716323079013,3.465286116573533,0.6943273069360841,0.6835180363309497,0.2361071827567876,0.16501484040739048,0.27059638735676794,0.19290610781706236
20260628.0,20.0,4.0,0.7834148506743788,0.7620376848299478,-8.082170376330444,-14.642339958067481,3.687800764419304,3.709546436177338,0.48659235754234664,0.49269871838614426,0.20188507582689386,0.06967174693380782,0.18822941368636176,0.1198550965175314
20260628.0,20.0,8.0,0.8398379394423725,0.8568969681364113,-7.621753475692994,-13.973329118465777,3.3835160112986706,3.413069862063843,0.6665328762430944,0.6556416437827286,0.28161651120667347,0.13994105089952313,0.1883314314589848,0.08222720263743982
