profile,seed,sample_index,snr_db,l_value,channel_nmse_db,support_recall,dominant_energy_recall,topk_energy_efficiency,clean_topk_energy_fraction,effective_support_95,effective_support_99,delay_support_recall,angle_support_recall,delay_bin_rmse,angle_bin_rmse,noise_variance
A,20260626.0,38.0,0.0,8.0,-9.116887351546136,1.0,0.8807052562326146,1.0,0.8807052562326146,24.0,127.0,1.0,1.0,0.0,0.0,0.999999947603449
A,20260626.0,39.0,0.0,8.0,-8.011386602302293,0.875,0.8435200612577823,0.995038653928523,0.8477259229352263,40.0,180.0,0.875,0.875,0.6123724356957945,0.5,0.9999997375024979
A,20260626.0,40.0,0.0,8.0,-5.684204615345417,1.0,0.7346252252639318,1.0,0.7346252252639318,58.0,261.0,1.0,1.0,0.0,0.0,0.9999999808273498
A,20260626.0,41.0,0.0,8.0,-9.195906138649137,1.0,0.8839158311240213,1.0000000000000002,0.8839158311240211,23.0,131.0,1.0,1.0,0.0,0.0,0.9999997838228845
A,20260626.0,42.0,0.0,8.0,-8.602381688044826,1.0,0.8701065051725171,1.0,0.8701065051725171,31.0,141.0,1.0,1.0,0.0,0.0,0.9999999732028492
A,20260626.0,43.0,0.0,8.0,-8.5470390965734,0.875,0.8652006371415283,0.999537842956844,0.8656006805926247,32.0,148.0,0.875,0.875,0.5,0.5,0.9999998632405293
A,20260626.0,44.0,0.0,8.0,-9.858826144882554,1.0,0.9003171261737042,1.0,0.9003171261737042,21.0,104.0,1.0,1.0,0.0,0.0,0.9999999802358397
A,20260626.0,45.0,0.0,8.0,-7.299099475597243,0.875,0.8178485095845405,0.9998180474717779,0.8179973462697733,42.0,182.0,0.875,0.875,0.6123724356957945,0.3535533905932738,1.0000001179319253
A,20260626.0,46.0,0.0,8.0,-7.37299124746429,1.0,0.8204269076314117,0.9999999999999999,0.8204269076314118,32.0,138.0,1.0,1.0,0.0,0.0,0.999999901417457
A,20260626.0,47.0,0.0,8.0,-8.137293138111154,1.0,0.8499336455129796,1.0000000000000002,0.8499336455129795,36.0,178.0,1.0,1.0,0.0,0.0,0.9999999850412506
