profile,seed,snr_db,l_value,n_samples,mean_channel_nmse_db,mean_support_recall,mean_dominant_energy_recall,mean_topk_energy_efficiency,mean_clean_topk_energy_fraction,mean_effective_support_95,mean_effective_support_99,mean_delay_support_recall,mean_angle_support_recall,mean_delay_bin_rmse,mean_angle_bin_rmse
C,20260628.0,20.0,16.0,50.0,-11.81646158516704,0.98875,0.9275758035201886,0.9999577806490575,0.9276159053284627,21.72,80.24,0.99,0.98875,0.05944195999091938,0.1123167716550679
C,20260628.0,30.0,4.0,50.0,-6.286271803740983,1.0,0.7436766059298273,1.0,0.7436766059298273,21.72,80.24,1.0,1.0,0.0,0.0
C,20260628.0,30.0,8.0,50.0,-8.760456686176191,0.99,0.8529672749043593,0.9999930873233893,0.8529729111136781,21.72,80.24,0.995,0.99,0.029318516525781366,0.07055317265894971
C,20260628.0,30.0,16.0,50.0,-11.825295941556346,0.99375,0.9276122093128396,0.9999961446967862,0.9276159053284627,21.72,80.24,0.99375,0.99375,0.03573132184970986,0.046905599463006896
C,20260629.0,0.0,4.0,50.0,-6.5291103623217746,0.94,0.7582027022312107,0.9983255128569083,0.7595458746835861,20.76,75.84,0.96,0.94,0.08,0.3085421856552859
C,20260629.0,0.0,8.0,50.0,-8.95547934687758,0.9375,0.8645156142388253,0.9973783855307599,0.8667420309038489,20.76,75.84,0.9425,0.9425,0.21484071308750097,0.3777548685297197
C,20260629.0,0.0,16.0,50.0,-11.027895878619272,0.84625,0.9275115750593694,0.9925240806182962,0.9345143492885244,20.76,75.84,0.8875,0.87625,3.881495402270101,0.9066209904349857
C,20260629.0,10.0,4.0,50.0,-6.5932033275225645,0.99,0.7594542005240065,0.9998825865901787,0.7595458746835861,20.76,75.84,0.99,0.99,0.02,0.07864763012391603
C,20260629.0,10.0,8.0,50.0,-9.160307326998506,0.9675,0.866410724919695,0.9996153315591304,0.8667420309038489,20.76,75.84,0.9725,0.9675,0.12682835214817031,0.18969032926235435
C,20260629.0,10.0,16.0,50.0,-12.233689867186404,0.9625,0.9340968323989212,0.9995527788295265,0.9345143492885244,20.76,75.84,0.9675,0.965,0.1886478338704804,0.30272467558816357
C,20260629.0,20.0,4.0,50.0,-6.5986213557625675,1.0,0.7595458746835861,1.0,0.7595458746835861,20.76,75.84,1.0,1.0,0.0,0.0
C,20260629.0,20.0,8.0,50.0,-9.183758116314037,0.99,0.8667166684996175,0.9999701317150931,0.8667420309038489,20.76,75.84,0.9925,0.99,0.026389584337646838,0.05078116022520108
C,20260629.0,20.0,16.0,50.0,-12.319371908591938,0.99125,0.9344672965497383,0.9999499949929879,0.9345143492885244,20.76,75.84,0.99125,0.99125,0.05512289773726411,0.07269336769028381
