profile,seed,snr_db,l_value,n_samples,mean_channel_nmse_db,mean_support_recall,mean_dominant_energy_recall,mean_delay_bin_rmse,mean_angle_bin_rmse
D,20260626.0,10.0,8.0,4.0,-19.287659898353684,0.71875,0.9938510922102952,5.502719665300332,0.5182830462427466
D,20260626.0,10.0,16.0,4.0,-16.617701272655424,0.484375,0.9952651971832231,11.594030316093153,0.6755018107020606
D,20260626.0,20.0,4.0,4.0,-19.72522454051691,0.9375,0.9893259920729355,0.25,0.125
D,20260626.0,20.0,8.0,4.0,-23.981085407534223,0.90625,0.9958847646566701,0.30618621784789724,0.1767766952966369
D,20260626.0,20.0,16.0,4.0,-25.36996059839566,0.765625,0.998028150821931,5.0706032448276,0.5772542485937369
D,20260626.0,30.0,4.0,4.0,-19.773143286843055,0.9375,0.9893259920729355,0.25,0.125
D,20260626.0,30.0,8.0,4.0,-24.26189928796598,0.9375,0.9959968925102339,0.47366422283387943,0.15309310892394862
D,20260626.0,30.0,16.0,4.0,-28.678486568110145,0.953125,0.9985599235428766,0.26134628439700347,0.15088834764831843
D,20260627.0,0.0,4.0,4.0,-10.303266983994618,0.375,0.9730931733266391,16.85705337983085,0.6767766952966369
D,20260627.0,0.0,8.0,4.0,-7.866281423211315,0.25,0.9741711939282917,18.155113217111428,0.6976423537605237
D,20260627.0,0.0,16.0,4.0,-5.8243137313624,0.171875,0.9759066252339618,15.045124588149152,0.7422479662088077
D,20260627.0,10.0,4.0,4.0,-17.267894169591777,0.625,0.9835180107985689,2.7803300858899105,0.46650635094610965
D,20260627.0,10.0,8.0,4.0,-19.080273085340153,0.78125,0.9922284678165926,5.991601459532713,0.5909254000032702
D,20260627.0,10.0,16.0,4.0,-16.994359933931197,0.515625,0.9946928792690077,11.170597533034229,0.7006615893275178
D,20260627.0,20.0,4.0,4.0,-18.650987880516553,0.875,0.9863144489778017,0.30177669529663687,0.25
D,20260627.0,20.0,8.0,4.0,-22.96108891652206,0.96875,0.9949077526678669,0.08838834764831845,0.0
D,20260627.0,20.0,16.0,4.0,-25.75024998662808,0.84375,0.9982200484147383,3.8307033763654714,0.4870009800629102
D,20260627.0,30.0,4.0,4.0,-18.743960718312916,1.0,0.9864563702680527,0.0,0.0
D,20260627.0,30.0,8.0,4.0,-23.19430233309977,0.96875,0.9949255589526224,0.3644344934278313,0.125
D,20260627.0,30.0,16.0,4.0,-28.34778872773473,0.96875,0.9985697544134852,0.3947890493972125,0.15088834764831843
