profile,seed,sample_index,snr_db,l_value,channel_nmse_db,support_recall,dominant_energy_recall,delay_bin_rmse,angle_bin_rmse,noise_variance
A,20260626.0,1.0,20.0,16.0,-12.906032542725345,1.0,0.9495181956018895,0.0,0.0,0.009999998805865357
A,20260626.0,2.0,20.0,16.0,-14.340240068490438,0.9375,0.9642024808371946,0.6614378277661477,0.25,0.009999999097332174
A,20260626.0,3.0,20.0,16.0,-15.735338025516608,0.8125,0.9740508136686072,0.8660254037844386,0.4330127018922193,0.010000000226998578
A,20260626.0,0.0,30.0,4.0,-6.097751881946676,1.0,0.7544075251085189,0.0,0.0,0.0009999999144306847
A,20260626.0,1.0,30.0,4.0,-6.4123978315909955,1.0,0.7715986910742826,0.0,0.0,0.0009999998805865357
A,20260626.0,2.0,30.0,4.0,-8.968104383715144,1.0,0.873190380035383,0.0,0.0,0.0009999999097332175
A,20260626.0,3.0,30.0,4.0,-10.91810197920144,1.0,0.9190714707099408,0.0,0.0,0.0010000000226998579
A,20260626.0,0.0,30.0,8.0,-9.378000695731172,1.0,0.8846300278833247,0.0,0.0,0.0009999999144306847
A,20260626.0,1.0,30.0,8.0,-9.326306779272329,1.0,0.8832581998067968,0.0,0.0,0.0009999998805865357
A,20260626.0,2.0,30.0,8.0,-11.711661759423155,1.0,0.932597883717622,0.0,0.0,0.0009999999097332175
A,20260626.0,3.0,30.0,8.0,-13.350117928981236,1.0,0.9537883929691553,0.0,0.0,0.0010000000226998579
A,20260626.0,0.0,30.0,16.0,-12.245581440843656,0.875,0.9404420207611652,0.5590169943749475,0.4330127018922193,0.0009999999144306847
A,20260626.0,1.0,30.0,16.0,-12.961433568967296,1.0,0.9495181956018895,0.0,0.0,0.0009999998805865357
A,20260626.0,2.0,30.0,16.0,-14.627566744470988,1.0,0.9656094691136715,0.0,0.0,0.0009999999097332175
A,20260626.0,3.0,30.0,16.0,-16.18360081123236,1.0,0.97598372825917,0.0,0.0,0.0010000000226998579
A,20260627.0,0.0,0.0,4.0,-6.766793556191773,1.0,0.7971235217271044,0.0,0.0,0.9999999892770262
A,20260627.0,1.0,0.0,4.0,-7.6949841099985345,0.75,0.8366693215722215,0.8660254037844386,0.0,0.9999999537599704
A,20260627.0,2.0,0.0,4.0,-5.884475569094391,1.0,0.7686154752208093,0.0,0.0,0.9999999196354447
A,20260627.0,3.0,0.0,4.0,-6.690402103166377,0.75,0.8068749071051694,0.5,0.7071067811865476,0.99999990531692
A,20260627.0,0.0,0.0,8.0,-7.649450856431811,0.75,0.869269107331967,5.678908345800274,0.5,0.9999999892770262
A,20260627.0,1.0,0.0,8.0,-7.3976401885279275,0.625,0.8713914321910562,9.226321043622967,0.5,0.9999999537599704
A,20260627.0,2.0,0.0,8.0,-6.665148508639959,0.875,0.8507572756644359,7.0710678118654755,0.3535533905932738,0.9999999196354447
A,20260627.0,3.0,0.0,8.0,-7.359978644322171,0.75,0.867587856407238,7.474958193863027,0.0,0.99999990531692
A,20260627.0,0.0,0.0,16.0,-6.460240423461677,0.625,0.8925444224592055,8.257572282456872,0.6614378277661477,0.9999999892770262
A,20260627.0,1.0,0.0,16.0,-6.090135520973183,0.5,0.9114911572007515,10.641898326896381,0.6614378277661477,0.9999999537599704
A,20260627.0,2.0,0.0,16.0,-6.299108378191995,0.625,0.9097672448220219,5.291502622129181,0.5590169943749475,0.9999999196354447
A,20260627.0,3.0,0.0,16.0,-6.9010640325711305,0.625,0.9170321020662711,6.18465843842649,0.6614378277661477,0.99999990531692
A,20260627.0,0.0,10.0,4.0,-6.699517174310559,0.75,0.7875957096231155,0.0,0.5,0.09999999892770262
A,20260627.0,1.0,10.0,4.0,-8.167683906390996,1.0,0.8493407984788669,0.0,0.0,0.09999999537599705
A,20260627.0,2.0,10.0,4.0,-6.30685831969664,1.0,0.7686154752208093,0.0,0.0,0.09999999196354446
A,20260627.0,3.0,10.0,4.0,-7.265927770681921,0.75,0.8153790781030618,0.7071067811865476,0.5,0.09999999053169199
A,20260627.0,0.0,10.0,8.0,-9.815181132782522,0.875,0.8984914658827143,0.3535533905932738,0.3535533905932738,0.09999999892770262
A,20260627.0,1.0,10.0,8.0,-10.415440168905706,0.875,0.9129087429730108,0.7905694150420949,0.0,0.09999999537599705
A,20260627.0,2.0,10.0,8.0,-8.88479375647471,0.875,0.8738498997996785,0.0,0.5,0.09999999196354446
