profile,seed,snr_db,l_value,sample_index,grid_channel_nmse_db,candan_channel_nmse_db,candan_gain_vs_grid_db,candan_harmful_update
A,20260628,10.0,8,34,-10.911462121329167,-17.196503452009047,6.28504133067988,0
A,20260628,10.0,8,35,-13.176925675093415,-18.289546038573963,5.1126203634805485,0
A,20260628,10.0,8,36,-10.276589451411514,-22.410643899687685,12.13405444827617,0
A,20260628,10.0,8,37,-8.18014603875753,-19.64206281120521,11.461916772447681,0
A,20260628,10.0,8,38,-10.046125611200917,-23.401935123933523,13.355809512732606,0
A,20260628,10.0,8,39,-9.578222187663306,-23.434041572857325,13.85581938519402,0
A,20260628,10.0,8,40,-9.745007219818131,-23.730707436554578,13.985700216736447,0
A,20260628,10.0,8,41,-9.408786406408613,-24.748771562254625,15.339985155846012,0
A,20260628,10.0,8,42,-10.803850542124241,-18.323264909215816,7.519414367091574,0
A,20260628,10.0,8,43,-10.543806930463663,-21.40502767779974,10.861220747336077,0
A,20260628,10.0,8,44,-10.784234443595437,-25.33724893180329,14.553014488207854,0
A,20260628,10.0,8,45,-10.834017477347953,-18.62400954032696,7.789992062979007,0
A,20260628,10.0,8,46,-11.183021711358341,-16.929810955092613,5.746789243734272,0
A,20260628,10.0,8,47,-10.247224747407754,-23.303075047932843,13.055850300525089,0
A,20260628,10.0,8,48,-9.335991432686567,-17.53931135483811,8.203319922151541,0
A,20260628,10.0,8,49,-11.34170505163506,-21.913190565602,10.571485513966941,0
A,20260628,10.0,16,0,-13.795918307311243,-22.80760151588858,9.011683208577338,0
A,20260628,10.0,16,1,-14.001620752532144,-21.89145157271156,7.889830820179416,0
A,20260628,10.0,16,2,-11.887757907075738,-23.73279632805037,11.845038420974632,0
A,20260628,10.0,16,3,-11.488838946866096,-18.407022200363706,6.9181832534976095,0
A,20260628,10.0,16,4,-13.045399849098349,-20.080823834433286,7.035423985334937,0
A,20260628,10.0,16,5,-10.801979455832264,-19.091263023491464,8.2892835676592,0
A,20260628,10.0,16,6,-15.258961865349887,-18.342527709149085,3.0835658437991977,0
A,20260628,10.0,16,7,-14.147039745955457,-18.901006899055176,4.753967153099719,0
A,20260628,10.0,16,8,-13.149175610005155,-19.987373930878224,6.838198320873069,0
A,20260628,10.0,16,9,-12.763699421320556,-19.48381150537361,6.720112084053053,0
A,20260628,10.0,16,10,-11.321889951343238,-20.647003110156703,9.325113158813465,0
A,20260628,10.0,16,11,-12.467688149773897,-19.522217370503448,7.054529220729551,0
A,20260628,10.0,16,12,-12.440688054444394,-20.9252153380628,8.484527283618405,0
A,20260628,10.0,16,13,-14.29573958065543,-19.22081815156051,4.925078570905081,0
A,20260628,10.0,16,14,-13.406329982250735,-17.734805324400867,4.328475342150131,0
A,20260628,10.0,16,15,-14.009453932830207,-22.208232976900305,8.198779044070099,0
A,20260628,10.0,16,16,-13.940768370929879,-19.594351313436658,5.6535829425067785,0
A,20260628,10.0,16,17,-11.424492113128917,-20.89547649440189,9.470984381272974,0
A,20260628,10.0,16,18,-12.710070912696716,-20.507136607571276,7.79706569487456,0
A,20260628,10.0,16,19,-12.753722439792568,-18.198101749999832,5.444379310207264,0
A,20260628,10.0,16,20,-12.682686425778595,-19.889568085843752,7.206881660065157,0
A,20260628,10.0,16,21,-12.972734628636733,-19.99492960105272,7.0221949724159884,0
A,20260628,10.0,16,22,-13.13581617551484,-20.098593006716744,6.962776831201904,0
A,20260628,10.0,16,23,-14.166389644256832,-19.424862841802323,5.2584731975454915,0
A,20260628,10.0,16,24,-11.678282684013643,-20.885026841445594,9.20674415743195,0
A,20260628,10.0,16,25,-13.39059514990632,-20.960239724175366,7.569644574269047,0
A,20260628,10.0,16,26,-13.167876639065806,-21.12211365685942,7.954237017793613,0
A,20260628,10.0,16,27,-11.924502851750141,-20.989055828969114,9.064552977218973,0
A,20260628,10.0,16,28,-11.609056219781893,-20.84647719673526,9.237420976953368,0
A,20260628,10.0,16,29,-13.231811585962372,-19.78443541996757,6.552623834005196,0
A,20260628,10.0,16,30,-14.479774464343382,-17.58560484967584,3.1058303853324567,0
A,20260628,10.0,16,31,-12.034289728281596,-20.792552201183206,8.75826247290161,0
A,20260628,10.0,16,32,-12.470579136858682,-19.922831187417867,7.452252050559185,0
A,20260628,10.0,16,33,-11.170167382453249,-20.915458750041168,9.74529136758792,0
A,20260628,10.0,16,34,-12.429759804811367,-17.35324671347531,4.923486908663945,0
A,20260628,10.0,16,35,-13.939609684174668,-18.66416951890373,4.724559834729062,0
A,20260628,10.0,16,36,-13.194497485342332,-20.7401245835212,7.545627098178869,0
A,20260628,10.0,16,37,-11.168459471802732,-20.131481745478563,8.963022273675831,0
A,20260628,10.0,16,38,-12.711456330112243,-21.8287080027879,9.117251672675655,0
A,20260628,10.0,16,39,-12.053173802660645,-22.183681489704284,10.13050768704364,0
A,20260628,10.0,16,40,-12.612044450659205,-21.41674330867076,8.804698858011555,0
A,20260628,10.0,16,41,-12.364631845725697,-22.39383005027896,10.029198204553264,0
A,20260628,10.0,16,42,-13.202351745774909,-19.713528004887564,6.511176259112656,0
A,20260628,10.0,16,43,-13.111342156998976,-21.080178029816835,7.968835872817859,0
A,20260628,10.0,16,44,-12.35762737474429,-20.16246502856678,7.804837653822489,0
A,20260628,10.0,16,45,-12.499760993164173,-19.092470259440233,6.59270926627606,0
A,20260628,10.0,16,46,-13.156114477850906,-15.947069876437139,2.7909553985862328,0
A,20260628,10.0,16,47,-12.196412785062707,-20.954827896257058,8.758415111194351,0
A,20260628,10.0,16,48,-11.93383124531568,-19.8545655535357,7.92073430822002,0
A,20260628,10.0,16,49,-13.80774428129276,-20.625923958552583,6.818179677259824,0
A,20260628,20.0,4,0,-9.619483532638123,-17.48107653484079,7.861593002202666,0
A,20260628,20.0,4,1,-9.098013019788384,-24.690798983954323,15.59278596416594,0
A,20260628,20.0,4,2,-6.001318659072467,-14.59615263978629,8.594833980713823,0
A,20260628,20.0,4,3,-5.635513920356642,-11.792458740706152,6.15694482034951,0
A,20260628,20.0,4,4,-8.999407786646335,-19.33896182634234,10.339554039696006,0
A,20260628,20.0,4,5,-5.01444098598117,-15.541278721577905,10.526837735596736,0
A,20260628,20.0,4,6,-11.418091322623313,-19.899936167981124,8.481844845357811,0
A,20260628,20.0,4,7,-8.997771766244982,-20.330935884789408,11.333164118544426,0
A,20260628,20.0,4,8,-9.144468380392244,-29.583884411847418,20.439416031455174,0
A,20260628,20.0,4,9,-7.637617362775586,-21.68242654397817,14.044809181202584,0
A,20260628,20.0,4,10,-6.2957679900261105,-10.975096171336725,4.6793281813106145,0
A,20260628,20.0,4,11,-8.262290920879263,-22.577780843644707,14.315489922765444,0
A,20260628,20.0,4,12,-7.863236720984289,-30.946490316370724,23.083253595386434,0
A,20260628,20.0,4,13,-11.014611648575045,-27.563192670292946,16.5485810217179,0
A,20260628,20.0,4,14,-9.579277727670078,-16.603251997001436,7.023974269331358,0
A,20260628,20.0,4,15,-8.690565710729445,-23.130393148480834,14.43982743775139,0
A,20260628,20.0,4,16,-8.832812694394669,-16.624356130716084,7.791543436321415,0
A,20260628,20.0,4,17,-5.337547944054249,-21.146366823400147,15.808818879345898,0
A,20260628,20.0,4,18,-8.502014557623589,-24.540749231315644,16.038734673692055,0
A,20260628,20.0,4,19,-7.922477167832706,-23.947395600356863,16.024918432524156,0
A,20260628,20.0,4,20,-8.360343400571887,-22.950642116285497,14.59029871571361,0
