Nv,theta_center_deg,delta_theta_deg,epsilon_grid,epsilon_corrected
32,-45,-0.225,0.00322792994862064,3.21956505914267e-05
32,-45,-0.2125,0.00288016547744574,2.87297483647642e-05
32,-45,-0.2,0.00255209871474005,2.54598375432069e-05
32,-45,-0.1875,0.0022437544371724,2.2386168258115e-05
32,-45,-0.175,0.00195515672866242,1.95089905768997e-05
32,-45,-0.1625,0.00168632897835574,1.68285545001368e-05
32,-45,-0.15,0.00143729387863034,1.43451099631209e-05
32,-45,-0.1375,0.00120807342313023,1.20589068349775e-05
32,-45,-0.125,0.000998688904825795,9.97019491688622e-06
32,-45,-0.1125,0.000809160914102769,8.07922394385763e-06
32,-45,-0.1,0.000639509336881061,6.38624358229034e-06
32,-45,-0.0875,0.000489753352760358,4.89150343097045e-06
32,-45,-0.075,0.000359911433194693,3.59525301940611e-06
32,-45,-0.0625,0.000250001339696659,2.49774180860474e-06
32,-45,-0.05,0.000160040122069383,1.59921918985173e-06
32,-45,-0.0375,9.00441166694632e-05,8.99934484044351e-07
32,-45,-0.025,4.00289446963464e-05,4.00136942468876e-07
32,-45,-0.0125,1.00095105137754e-05,1.00075744913219e-07
32,-45,0,1.11022302462516e-16,1.11022302462516e-16
32,-45,0.0125,1.00138789266291e-05,1.00158745297563e-07
32,-45,0.025,4.00638913683471e-05,4.00800944877489e-07
32,-45,0.0375,9.01620581424956e-05,9.02175491424018e-07
32,-45,0.05,0.000160319675279186,1.6045312040136e-06
32,-45,0.0625,0.000250547312520499,2.50811682822594e-06
32,-45,0.075,0.000360854811850997,3.6131810359219e-06
32,-45,0.0875,0.000491251286058536,4.91997242435538e-06
32,-45,0.1,0.000641745117325732,6.42873951606227e-06
32,-45,0.1125,0.000812343955853168,8.13973075830532e-06
32,-45,0.125,0.00100305471851125,1.00531945226301e-05
32,-45,0.1375,0.00121388358752528,1.21693791043098e-05
32,-45,0.15,0.00144483600919143,1.44885327222344e-05
32,-45,0.1625,0.00169591669262359,1.70109035181332e-05
32,-45,0.175,0.00196712960853074,1.9736739556242e-05
32,-45,0.1875,0.00225847798802825,2.2666288822859e-05
32,-45,0.2,0.00256996432147993,2.57997992256787e-05
32,-45,0.2125,0.00290159035736937,2.91375185941245e-05
32,-45,0.225,0.00325335710120855,3.26796946777952e-05
32,-45,0.2375,0.00362526481447378,3.64265751466863e-05
32,-45,0.25,0.00401731301357511,4.03784075908575e-05
32,-20,-0.25,0.00704626449279322,7.05086549258604e-05
32,-20,-0.2375,0.00636107413951836,6.36439142798206e-05
32,-20,-0.225,0.00571068196772018,5.71296869269489e-05
32,-20,-0.2125,0.0050951376149907,5.09661399352712e-05
32,-20,-0.2,0.00451448852452729,4.51534399970033e-05
32,-20,-0.1875,0.00396877994040268,3.96917534288832e-05
32,-20,-0.175,0.00345805490299977,3.45812461715056e-05
32,-20,-0.1625,0.00298235424461069,2.98220837890995e-05
32,-20,-0.15,0.00254171658520064,2.5414431468529e-05
32,-20,-0.1375,0.0021361783283409,2.13584540195155e-05
32,-20,-0.125,0.00176577365730413,1.76543158736386e-05
32,-20,-0.1125,0.00143053453133091,1.43021810841137e-05
32,-20,-0.1,0.00113049068205928,1.13022133259033e-05
32,-20,-0.0875,0.000865669610125908,8.65457589427354e-06
32,-20,-0.075,0.000636096581933754,6.35943170490538e-06
32,-20,-0.0625,0.000441794626588554,4.41694329356146e-06
32,-20,-0.05,0.000282784533003788,2.82727281586403e-06
32,-20,-0.0375,0.000159084847176749,1.59058204551865e-06
32,-20,-0.025,7.07118696332554e-05,7.07032375868444e-07
32,-20,-0.0125,1.767965304178e-05,1.7678481756267e-07
32,-20,0,1.11022302462516e-16,1.11022302462516e-16
32,-20,0.0125,1.76824609905424e-05,1.76838169330118e-07
32,-20,0.025,7.07343325080378e-05,7.07459188342696e-07
32,-20,0.0375,0.000159160655358814,1.59202253691149e-06
32,-20,0.05,0.000282964213130343,2.83068731021796e-06
32,-20,0.0625,0.000442145530834437,4.42361222030563e-06
32,-20,0.075,0.000636702873721307,6.37095559263834e-06
32,-20,0.0875,0.000866632246267374,8.67287536931993e-06
32,-20,0.1,0.00113192739133339,1.13295291053195e-05
32,-20,0.1125,0.00143257978949851,1.43410739699146e-05
32,-20,0.125,0.00176857865856539,1.77076667464693e-05
32,-20,0.1375,0.00213991095323818,2.14294638306578e-05
32,-20,0.15,0.00254656136497544,2.55066212311306e-05
32,-20,0.1625,0.00298851232201625,2.9939294568182e-05
32,-20,0.175,0.00346574398957833,3.47276390750828e-05
32,-20,0.1875,0.00397823427023236,3.98718095951933e-05
32,-20,0.2,0.00452595880444828,4.53719605835179e-05
32,-20,0.2125,0.0051088909713165,5.12282461050395e-05
32,-20,0.225,0.00572700188944331,5.7440819835719e-05
32,-20,0.2375,0.00638026041802009,6.40098350600526e-05
32,-20,0.25,0.00706863315806527,7.09354446726262e-05
32,0,-0.25,0.00799013120049097,8.00904989588513e-05
32,0,-0.2375,0.00721278540877857,7.22819656266971e-05
32,0,-0.225,0.00647496587557861,6.48738119178871e-05
32,0,-0.2125,0.00577672581390587,5.78660469868764e-05
32,0,-0.2,0.00511811558651309,5.12586794944037e-05
32,0,-0.1875,0.00449918270154637,4.50517176053822e-05
