n_targets,trial,depth,nmse_db,fixed_depth_nmse_db,oracle_depth,oracle_nmse_db,oracle_gap_vs_fixed_db,oracle_depth_savings_percent
8.0,1.0,3.0,-12.792392471725524,-17.867972061448278,7.0,-17.773541866897354,0.09443019455092383,12.5
8.0,1.0,4.0,-15.493580826046916,-17.867972061448278,7.0,-17.773541866897354,0.09443019455092383,12.5
8.0,1.0,5.0,-16.864512889637023,-17.867972061448278,7.0,-17.773541866897354,0.09443019455092383,12.5
8.0,1.0,6.0,-17.32732000819813,-17.867972061448278,7.0,-17.773541866897354,0.09443019455092383,12.5
8.0,1.0,7.0,-17.773541866897354,-17.867972061448278,7.0,-17.773541866897354,0.09443019455092383,12.5
8.0,1.0,8.0,-17.867972061448278,-17.867972061448278,7.0,-17.773541866897354,0.09443019455092383,12.5
8.0,2.0,0.0,-7.018906903790022,-17.38958203888445,6.0,-16.94282933168124,0.4467527072032098,25.0
8.0,2.0,1.0,-8.443310506537339,-17.38958203888445,6.0,-16.94282933168124,0.4467527072032098,25.0
8.0,2.0,2.0,-11.187809057445467,-17.38958203888445,6.0,-16.94282933168124,0.4467527072032098,25.0
8.0,2.0,3.0,-12.429678823667729,-17.38958203888445,6.0,-16.94282933168124,0.4467527072032098,25.0
8.0,2.0,4.0,-15.804031252458405,-17.38958203888445,6.0,-16.94282933168124,0.4467527072032098,25.0
8.0,2.0,5.0,-16.35891008773646,-17.38958203888445,6.0,-16.94282933168124,0.4467527072032098,25.0
8.0,2.0,6.0,-16.94282933168124,-17.38958203888445,6.0,-16.94282933168124,0.4467527072032098,25.0
8.0,2.0,7.0,-17.208902046187703,-17.38958203888445,6.0,-16.94282933168124,0.4467527072032098,25.0
8.0,2.0,8.0,-17.38958203888445,-17.38958203888445,6.0,-16.94282933168124,0.4467527072032098,25.0
8.0,3.0,0.0,-5.183257035646898,-30.6491277162764,8.0,-30.6491277162764,0.0,0.0
8.0,3.0,1.0,-7.489605151569595,-30.6491277162764,8.0,-30.6491277162764,0.0,0.0
8.0,3.0,2.0,-9.92682298918637,-30.6491277162764,8.0,-30.6491277162764,0.0,0.0
8.0,3.0,3.0,-14.400346883066423,-30.6491277162764,8.0,-30.6491277162764,0.0,0.0
8.0,3.0,4.0,-18.010522944726457,-30.6491277162764,8.0,-30.6491277162764,0.0,0.0
8.0,3.0,5.0,-21.46288116077389,-30.6491277162764,8.0,-30.6491277162764,0.0,0.0
8.0,3.0,6.0,-24.298164164465312,-30.6491277162764,8.0,-30.6491277162764,0.0,0.0
8.0,3.0,7.0,-25.162529035667962,-30.6491277162764,8.0,-30.6491277162764,0.0,0.0
8.0,3.0,8.0,-30.6491277162764,-30.6491277162764,8.0,-30.6491277162764,0.0,0.0
8.0,4.0,0.0,-5.520689505176005,-14.269534206435154,5.0,-13.903280570795502,0.3662536356396515,37.5
8.0,4.0,1.0,-8.351359149638288,-14.269534206435154,5.0,-13.903280570795502,0.3662536356396515,37.5
8.0,4.0,2.0,-11.315867791072243,-14.269534206435154,5.0,-13.903280570795502,0.3662536356396515,37.5
8.0,4.0,3.0,-12.041270830594804,-14.269534206435154,5.0,-13.903280570795502,0.3662536356396515,37.5
8.0,4.0,4.0,-13.376915391050641,-14.269534206435154,5.0,-13.903280570795502,0.3662536356396515,37.5
8.0,4.0,5.0,-13.903280570795502,-14.269534206435154,5.0,-13.903280570795502,0.3662536356396515,37.5
8.0,4.0,6.0,-14.081839352228956,-14.269534206435154,5.0,-13.903280570795502,0.3662536356396515,37.5
8.0,4.0,7.0,-14.189079422625392,-14.269534206435154,5.0,-13.903280570795502,0.3662536356396515,37.5
8.0,4.0,8.0,-14.269534206435154,-14.269534206435154,5.0,-13.903280570795502,0.3662536356396515,37.5
32.0,0.0,0.0,-5.761024628207972,-16.15120371245635,6.0,-15.836130220358866,0.3150734920974845,25.0
32.0,0.0,1.0,-8.369657424051683,-16.15120371245635,6.0,-15.836130220358866,0.3150734920974845,25.0
32.0,0.0,2.0,-10.951401997427748,-16.15120371245635,6.0,-15.836130220358866,0.3150734920974845,25.0
32.0,0.0,3.0,-12.39132108182802,-16.15120371245635,6.0,-15.836130220358866,0.3150734920974845,25.0
32.0,0.0,4.0,-14.607902165984166,-16.15120371245635,6.0,-15.836130220358866,0.3150734920974845,25.0
32.0,0.0,5.0,-15.349081668196835,-16.15120371245635,6.0,-15.836130220358866,0.3150734920974845,25.0
32.0,0.0,6.0,-15.836130220358866,-16.15120371245635,6.0,-15.836130220358866,0.3150734920974845,25.0
32.0,0.0,7.0,-16.05228512220991,-16.15120371245635,6.0,-15.836130220358866,0.3150734920974845,25.0
32.0,0.0,8.0,-16.15120371245635,-16.15120371245635,6.0,-15.836130220358866,0.3150734920974845,25.0
32.0,1.0,0.0,-5.952186132000808,-16.563290821587916,6.0,-16.199492521853117,0.3637982997347997,25.0
32.0,1.0,1.0,-7.709575173571569,-16.563290821587916,6.0,-16.199492521853117,0.3637982997347997,25.0
32.0,1.0,2.0,-10.646680271683566,-16.563290821587916,6.0,-16.199492521853117,0.3637982997347997,25.0
32.0,1.0,3.0,-12.15862343861384,-16.563290821587916,6.0,-16.199492521853117,0.3637982997347997,25.0
32.0,1.0,4.0,-14.490184333474579,-16.563290821587916,6.0,-16.199492521853117,0.3637982997347997,25.0
