profile,seed,L,snr_db,sample,method,nmse_db,newton_updates,wall_ms
A,3101,8,10.0,2,grid,-6.811315549726248,0,0.17
A,3101,8,10.0,2,deterministic,-9.921551192150394,0,2.34
A,3101,8,10.0,2,controller,-8.881634530504721,0,2.84
A,3101,8,10.0,2,nomp2d,-13.822190716334376,145,37.71
A,3101,8,10.0,3,grid,-6.359697478269613,0,0.17
A,3101,8,10.0,3,deterministic,-6.518197583033071,0,2.45
A,3101,8,10.0,3,controller,-7.922853146523725,0,3.03
A,3101,8,10.0,3,nomp2d,-16.880227564238663,157,35.1
A,3101,8,10.0,4,grid,-7.602194991929869,0,0.17
A,3101,8,10.0,4,deterministic,-12.252714113074337,0,2.27
A,3101,8,10.0,4,controller,-9.35899257134879,0,2.79
A,3101,8,10.0,4,nomp2d,-17.719865111257825,158,36.03
A,3101,8,10.0,5,grid,-7.171244704169812,0,0.17
A,3101,8,10.0,5,deterministic,-10.429077132549969,0,2.31
A,3101,8,10.0,5,controller,-9.886847414543613,0,2.8
A,3101,8,10.0,5,nomp2d,-17.805952842319176,159,34.24
A,3101,8,20.0,0,grid,-6.955978143089393,0,0.31
A,3101,8,20.0,0,deterministic,-7.912178620079061,0,2.58
A,3101,8,20.0,0,controller,-9.062837292257498,0,3.15
A,3101,8,20.0,0,nomp2d,-17.196291482688082,147,37.98
A,3101,8,20.0,1,grid,-7.480268137438416,0,0.16
A,3101,8,20.0,1,deterministic,-10.251131497952873,0,2.42
A,3101,8,20.0,1,controller,-10.877221774297768,0,3.0
A,3101,8,20.0,1,nomp2d,-20.07104168459598,152,38.88
A,3101,8,20.0,2,grid,-6.904995923090587,0,0.17
A,3101,8,20.0,2,deterministic,-9.671030541254725,0,2.38
A,3101,8,20.0,2,controller,-9.481963939204283,0,2.94
A,3101,8,20.0,2,nomp2d,-18.91409523288319,151,37.35
A,3101,8,20.0,3,grid,-6.516143143828468,0,0.19
A,3101,8,20.0,3,deterministic,-7.403894902898647,0,2.37
A,3101,8,20.0,3,controller,-7.621439643987616,0,2.91
A,3101,8,20.0,3,nomp2d,-17.537796901855863,156,36.32
A,3101,8,20.0,4,grid,-7.685316109522677,0,0.17
A,3101,8,20.0,4,deterministic,-12.265118038991849,0,2.41
A,3101,8,20.0,4,controller,-9.413484209142146,0,2.94
A,3101,8,20.0,4,nomp2d,-21.75287051824324,149,37.97
A,3101,8,20.0,5,grid,-7.269951113990839,0,0.16
A,3101,8,20.0,5,deterministic,-10.860637337404519,0,2.27
A,3101,8,20.0,5,controller,-9.957772026413194,0,2.76
A,3101,8,20.0,5,nomp2d,-19.63566875129199,154,34.62
A,3101,8,30.0,0,grid,-6.961109731902281,0,0.39
A,3101,8,30.0,0,deterministic,-7.918678602208752,0,2.55
A,3101,8,30.0,0,controller,-9.060806691263343,0,3.1
A,3101,8,30.0,0,nomp2d,-17.287010914026467,152,35.81
A,3101,8,30.0,1,grid,-7.485012480962042,0,0.16
A,3101,8,30.0,1,deterministic,-10.369082025925138,0,2.29
A,3101,8,30.0,1,controller,-11.055148327003813,0,2.78
A,3101,8,30.0,1,nomp2d,-19.174635308463316,148,37.88
A,3101,8,30.0,2,grid,-6.908877952871656,0,0.17
A,3101,8,30.0,2,deterministic,-9.685726595178963,0,2.29
A,3101,8,30.0,2,controller,-9.490522801542106,0,2.8
A,3101,8,30.0,2,nomp2d,-19.117389883545183,149,39.1
A,3101,8,30.0,3,grid,-6.523249977565278,0,0.18
A,3101,8,30.0,3,deterministic,-7.414259862692667,0,2.39
A,3101,8,30.0,3,controller,-7.633111449744136,0,2.95
A,3101,8,30.0,3,nomp2d,-17.343261557871863,153,38.87
A,3101,8,30.0,4,grid,-7.689591053451512,0,0.17
A,3101,8,30.0,4,deterministic,-12.450144096513991,0,2.57
A,3101,8,30.0,4,controller,-9.479534758333644,0,3.12
A,3101,8,30.0,4,nomp2d,-22.132041807965518,146,39.67
A,3101,8,30.0,5,grid,-7.269103172782096,0,0.19
A,3101,8,30.0,5,deterministic,-10.66558660055942,0,2.46
A,3101,8,30.0,5,controller,-10.044642681325593,0,2.97
A,3101,8,30.0,5,nomp2d,-19.721682123835958,156,38.73
A,3101,16,0.0,0,grid,-5.427417457348566,0,0.48
A,3101,16,0.0,0,deterministic,-6.461887901822212,0,5.9
A,3101,16,0.0,0,controller,-6.303525980643311,0,6.95
A,3101,16,0.0,0,nomp2d,-4.525003536395369,449,185.83
A,3101,16,0.0,1,grid,-6.244979682879287,0,0.3
A,3101,16,0.0,1,deterministic,-6.771730175673168,0,4.58
A,3101,16,0.0,1,controller,-7.431126062999526,0,5.42
A,3101,16,0.0,1,nomp2d,-6.16727884511095,511,172.77
A,3101,16,0.0,2,grid,-6.2226957634183115,0,0.37
A,3101,16,0.0,2,deterministic,-7.690368811029586,0,4.76
A,3101,16,0.0,2,controller,-7.882344776892526,0,5.55
A,3101,16,0.0,2,nomp2d,-5.875559712117431,507,173.1
A,3101,16,0.0,3,grid,-6.442765493788137,0,0.29
A,3101,16,0.0,3,deterministic,-7.036513215314661,0,4.57
A,3101,16,0.0,3,controller,-7.0900733917629335,0,5.36
A,3101,16,0.0,3,nomp2d,-4.830619466777167,464,173.44
A,3101,16,0.0,4,grid,-6.619624368950625,0,0.29
