profile,split,seed,sample_index,snr_db,l_value,grid_channel_nmse_db,candan_channel_nmse_db,cartesian_channel_nmse_db,candan_gain_vs_grid_db,cartesian_gain_vs_grid_db,cartesian_advantage_over_candan_db,grid_residual_fraction,candan_residual_fraction,cartesian_residual_fraction,candan_residual_reduction_fraction,cartesian_residual_reduction_fraction,candan_minimum_denominator_stability,candan_mean_denominator_stability,candan_maximum_absolute_unclipped_offset,candan_clipping_rate,minimum_cartesian_candidate_margin,log10_candan_condition,log10_cartesian_condition,grid_delay_rmse_ns,grid_angle_rmse_deg,candan_delay_rmse_ns,candan_angle_rmse_deg,cartesian_delay_rmse_ns,cartesian_angle_rmse_deg,support_fraction,topk_energy_fraction,mean_abs_delay_step,mean_abs_angle_step,std_abs_delay_step,std_abs_angle_step,unique_delay_fraction,unique_angle_fraction,log10_design_condition,hybrid_fallback,hybrid_channel_nmse_db,hybrid_gain_vs_grid_db,hybrid_residual_reduction_fraction,hybrid_delay_rmse_ns,hybrid_angle_rmse_deg,oracle_gain_vs_grid_db,gated_candan_pass,gated_candan_gain_vs_grid_db,gated_candan_channel_nmse_db,gated_candan_delay_rmse_ns,gated_candan_angle_rmse_deg,gated_hybrid_pass,gated_hybrid_gain_vs_grid_db,gated_hybrid_channel_nmse_db,gated_hybrid_delay_rmse_ns,gated_hybrid_angle_rmse_deg
D,validation,20260625,8,20.0,4,-21.97492561582312,-20.320795978502733,-22.371981726480627,-1.6541296373203878,0.39705611065750546,2.051185747977893,0.015837511712143655,0.018611923923286804,0.014661941617772428,-0.002774412211143114,0.0011755700943712616,0.6512517408715474,0.8160566373372804,1.2283331592634428,0.25,0.08220622716556332,0.4592071070373287,0.4029049239272465,74.59912685139103,17.738070265365273,91.86500121952496,8.456506242903872,93.42471264903114,11.211958692969402,0.015625,0.984162488287856,32.245127217684576,2.5913824956250493,55.187731200017815,3.1002821718874385,0.75,0.75,1.9286549331065737e-16,0,-20.320795978502733,-1.6541296373203878,-0.002774412211143114,91.86500121952496,8.456506242903872,0.39705611065750546,0,0.0,-21.97492561582312,74.59912685139103,17.738070265365273,0,0.0,-21.97492561582312,74.59912685139103,17.738070265365273
D,validation,20260625,9,20.0,4,-19.88149754850238,-23.105987270159538,-18.587970298728028,3.2244897216571573,-1.2935272497743533,-4.518016971431511,0.02063900516724081,0.015592699600241195,0.024375487584289666,0.005046305566999636,-0.0037364824170488357,0.6836881524563826,0.8351727859805724,1.330280700770477,0.375,0.05437226992925983,0.8089311905371686,0.5764719038915568,78.25591603332497,11.471670260113287,78.39799358318905,9.882809814640332,103.42417215533233,10.187039597581258,0.015625,0.9793609948327594,32.115262808790064,2.641557801787853,54.97070599119965,3.0579580033272244,0.5,0.5,2.8929823996598605e-16,0,-23.105987270159538,3.2244897216571573,0.005046305566999636,78.39799358318905,9.882809814640332,3.2244897216571573,1,3.2244897216571573,-23.105987270159538,78.39799358318905,9.882809814640332,1,3.2244897216571573,-23.105987270159538,78.39799358318905,9.882809814640332
D,validation,20260625,10,20.0,4,-21.174379848548877,-23.203551190370447,-20.635691052464068,2.02917134182157,-0.5386887960848092,-2.5678601379063792,0.016516247362446477,0.013608686825923389,0.017024743575253316,0.002907560536523102,-0.0005084962128068249,0.4201846781026673,0.7773338273872238,0.9160132933190056,0.25,0.023881986214430568,0.26577526406197055,0.3057232745759739,8.086834891188316,7.592007074232611,38.49990118352275,7.873742316366707,45.382797749924386,6.803449744831076,0.015625,0.9834837526375533,32.369172060011095,0.5194140958785181,55.19989937033267,0.40870850068690134,1.0,0.5,1.9286549331065737e-16,0,-23.203551190370447,2.02917134182157,0.002907560536523102,38.49990118352275,7.873742316366707,2.02917134182157,1,2.02917134182157,-23.203551190370447,38.49990118352275,7.873742316366707,1,2.02917134182157,-23.203551190370447,38.49990118352275,7.873742316366707
D,validation,20260625,11,20.0,4,-16.39257129208956,-19.085923656037735,-15.86662494927628,2.6933523639481756,-0.5259463428132793,-3.219298706761455,0.0318786278138683,0.02183624151857493,0.03502898496583977,0.010042386295293523,-0.003150357151971317,0.5238814391641392,0.8345193646044047,1.527994960870169,0.25,0.07213214811715718,0.4712784397075377,0.528570860014026,24.202720906533877,10.869663634718936,47.54038753963279,7.389929103868084,45.30763741724623,12.80058188936845,0.015625,0.9681213721861315,0.508604543481185,2.6095623473581586,0.37338817266599905,3.1028657789581544,0.75,0.5,1.9286549331065737e-16,0,-19.085923656037735,2.6933523639481756,0.010042386295293523,47.54038753963279,7.389929103868084,2.6933523639481756,1,2.6933523639481756,-19.085923656037735,47.54038753963279,7.389929103868084,1,2.6933523639481756,-19.085923656037735,47.54038753963279,7.389929103868084
D,validation,20260625,12,20.0,4,-16.374062248076434,-15.532451290900243,-19.044716911350925,-0.8416109571761918,2.6706546632744903,3.512265620450682,0.030871240398048706,0.03549547773825441,0.020657429914436518,-0.004624237340205509,0.010213810483612386,0.3698347883723634,0.7688149818747361,1.9695852787155745,0.25,0.039380034067745824,0.26667684356283405,0.29914061422297644,26.363444567813808,9.753651112274534,40.239108692198435,2.5972186469422724,35.25193903178316,7.745722561028793,0.015625,0.9691287596019513,0.4809862827053559,0.5959754438346432,0.3085026713412631,0.4011760610787668,0.75,0.75,1.9286549331065737e-16,0,-15.532451290900243,-0.8416109571761918,-0.004624237340205509,40.239108692198435,2.5972186469422724,2.6706546632744903,0,0.0,-16.374062248076434,26.363444567813808,9.753651112274534,0,0.0,-16.374062248076434,26.363444567813808,9.753651112274534
D,validation,20260625,13,20.0,4,-17.03255117544776,-18.805118904879773,-17.947911775443522,1.7725677294320121,0.9153605999957612,-0.8572071294362509,0.031473921217241796,0.024637820016491927,0.02854932005149603,0.006836101200749883,0.0029246011657457806,0.6802379579926078,0.8431941535259936,1.254758249567351,0.375,0.00404366664903473,0.6091142151407275,0.4107934028692454,98.74418389045981,18.12049719345501,115.91746552736105,11.502414360749345,95.6384616463184,15.18144701401382,0.015625,0.9685260787827583,32.24257992674195,2.6838086783634227,55.148720125885006,3.0000768268729536,0.5,0.75,9.64327466553287e-17,0,-18.805118904879773,1.7725677294320121,0.006836101200749883,115.91746552736105,11.502414360749345,1.7725677294320121,1,1.7725677294320121,-18.805118904879773,115.91746552736105,11.502414360749345,1,1.7725677294320121,-18.805118904879773,115.91746552736105,11.502414360749345
D,validation,20260625,14,20.0,4,-19.598584854197235,-18.82874018584861,-18.97640302363214,-0.7698446683486253,-0.6221818305650935,0.14766283778353184,0.01961494126362496,0.02203424836984723,0.021410702143002863,-0.0024193071062222453,-0.00179576087937788,0.16602651230704407,0.8044637367881544,1.1514497078894101,0.375,0.08236204773043217,0.5239624667763233,0.413484024224647,350.8937152285367,36.38613852221769,381.7686624944033,35.419992311192665,378.7122107720528,34.24417146614669,0.015625,0.9803850587363754,96.23284466721206,2.3045915960369934,54.98271331886387,3.2438472515676,0.5,0.75,2.8929823996598605e-16,0,-18.82874018584861,-0.7698446683486253,-0.0024193071062222453,381.7686624944033,35.419992311192665,0.0,0,0.0,-19.598584854197235,350.8937152285367,36.38613852221769,0,0.0,-19.598584854197235,350.8937152285367,36.38613852221769
D,validation,20260625,15,20.0,4,-17.755262687419876,-20.43612891615581,-20.667579942280867,2.6808662287359333,2.912317254860991,0.23145102612505752,0.02649412923298258,0.018130554780524822,0.017174592207605165,0.00836357445245783,0.009319537025377488,0.7519212710445295,0.8460936661464522,0.9535981504085804,0.25,0.1223031534054332,0.6466642695156963,0.39520821061503225,25.621228365899,11.058973252775266,49.22207897732481,2.281096711036657,70.56496917239011,5.3117400876827405,0.015625,0.9735058707670171,0.562986362098174,0.6781567568805372,0.399254985140575,0.39142705499417957,0.75,0.5,9.64327466553287e-17,0,-20.43612891615581,2.6808662287359333,0.00836357445245783,49.22207897732481,2.281096711036657,2.912317254860991,1,2.6808662287359333,-20.43612891615581,49.22207897732481,2.281096711036657,1,2.6808662287359333,-20.43612891615581,49.22207897732481,2.281096711036657
D,validation,20260625,16,20.0,4,-17.42592480546097,-19.303333640420696,-21.098041249400588,1.877408834959727,3.6721164439396183,1.7947076089798912,0.02770891107267513,0.02125192116710429,0.017144708532659248,0.006456989905570823,0.010564202540015864,0.5370545176386313,0.8048735576284289,1.5496303172891202,0.5,0.08840131659381097,2.248460905665618,0.5536085574905839,40.33996429372146,14.069882086345897,48.67688871686005,2.408612668871539,46.21236831105408,9.996557252922134,0.015625,0.9722910889273249,0.7286128792817667,2.7473017063150853,0.3645696644590703,3.0264153314895212,0.75,0.5,1.9286549331065737e-16,0,-19.303333640420696,1.877408834959727,0.006456989905570823,48.67688871686005,2.408612668871539,3.6721164439396183,1,1.877408834959727,-19.303333640420696,48.67688871686005,2.408612668871539,1,1.877408834959727,-19.303333640420696,48.67688871686005,2.408612668871539
D,validation,20260625,17,20.0,4,-16.91440561975536,-15.165872278881904,-15.822331751519814,-1.7485333408734558,-1.0920738682355466,0.6564594726379092,0.02921877202985173,0.039845573296671474,0.035627293019168504,-0.010626801266819676,-0.006408520989316706,0.5452442808764155,0.7821244729681253,1.4138413101511464,0.375,0.08083265315142164,0.7019412261875022,0.6536889221109997,131.36458240589047,17.204429105740477,138.36748883213957,16.35293553681302,148.00585084581454,13.426005412217862,0.015625,0.9707812279701484,64.10238749619185,0.6222869718927606,63.541251110325284,0.40811398476717226,0.5,0.75,2.8929823996598605e-16,1,-15.822331751519814,-1.0920738682355466,-0.006408520989316706,148.00585084581454,13.426005412217862,0.0,0,0.0,-16.91440561975536,131.36458240589047,17.204429105740477,0,0.0,-16.91440561975536,131.36458240589047,17.204429105740477
