seed,snr_db,n_targets,sample_index,grid_nmse_db,candan_nmse_db,candan_gain_vs_grid_db,minimum_denominator_stability,mean_denominator_stability,clipping_rate
20260701,30,4,15,-5.34916271180873,-16.9455530117559,11.5963902999472,0.817927121450205,0.885131125543485,0.0833333333333333
20260701,30,4,16,-4.75856720396783,-11.6419155324138,6.88334832844595,0.826735336386602,0.874930889489052,0.0833333333333333
20260701,30,4,17,-5.68066870225597,-12.0609986087904,6.38032990653447,0.830764374785626,0.885018632504185,0.0833333333333333
20260701,30,4,18,-4.01005190048967,-13.2998424594874,9.28979055899774,0.814167193511388,0.861887577473033,0.0833333333333333
20260701,30,4,19,-4.54796722925995,-15.142096691294,10.5941294620341,0.813571483778193,0.858676044366658,0.0833333333333333
20260701,30,4,20,-4.05890079502808,-15.8868088985573,11.8279081035292,0.818618103792462,0.862459084583096,0.0833333333333333
20260701,30,8,1,-6.84261451866527,-16.4172641694672,9.57464965080195,0.220350419231069,0.853958849365404,0.125
20260701,30,8,2,-5.98244542269203,-19.7082325568147,13.7257871341227,0.824227059953307,0.892385918545182,0.0416666666666667
20260701,30,8,3,-5.88115837433504,-13.6779206840188,7.79676230968377,0.816631306772313,0.87648560211356,0.0833333333333333
20260701,30,8,4,-6.06737616803659,-17.0852798905228,11.0179037224862,0.817219940513326,0.867511451753007,0.125
20260701,30,8,5,-5.25690801406094,-18.2982932326286,13.0413852185676,0.816571564638494,0.88305973143443,0.0833333333333333
20260701,30,8,6,-6.0537767917112,-13.9389483979527,7.88517160624148,0.815808090423879,0.892536638866875,0.0833333333333333
20260701,30,8,7,-4.48742684505156,-11.5054788959564,7.01805205090486,0.818813592991816,0.865442902339225,0.0833333333333333
20260701,30,8,8,-5.05569641456874,-17.7916433993201,12.7359469847514,0.815008829882488,0.867194846795707,0.0416666666666667
20260701,30,8,9,-4.34070361793088,-17.5010168920247,13.1603132740938,0.818702564358654,0.881954672545625,0.0416666666666667
20260701,30,8,10,-4.6330582344432,-58.3221897401266,53.6891315056834,0.814604498942163,0.883668976292698,0
20260701,30,8,11,-4.62160231101699,-12.9407123535951,8.31911004257806,0.815690352030781,0.879527455282521,0.0833333333333333
20260701,30,8,12,-5.47982019215636,-16.8407912502713,11.360971058115,0.815327660300274,0.877389678532033,0.0833333333333333
20260701,30,8,13,-4.54460585030121,-13.9733501085857,9.42874425828451,0.816824495941871,0.872803236458903,0.0833333333333333
20260701,30,8,14,-5.5776275097669,-12.9868773882729,7.40924987850599,0.815810872668094,0.884906963344562,0.125
20260701,30,8,15,-4.77039466210295,-13.6013986283869,8.83100396628393,0.816056341112338,0.885699320463123,0.0833333333333333
20260701,30,8,16,-5.56959166866976,-15.5756769428176,10.0060852741478,0.818893375119842,0.88926977143728,0.0416666666666667
20260701,30,8,17,-5.49443106122189,-16.445283967646,10.9508529064241,0.814692477144312,0.876703735285729,0.0416666666666667
