seed,snr_db,L,scene,method,nmse_db,wall_ms,newton_updates
1,20,4,1,parafac_als,-15.061257,17.870,0
1,20,4,2,grid,-4.758652,15.389,0
1,20,4,2,deterministic,-13.547141,34.239,0
1,20,4,2,learned_scalar,-13.473335,42.469,0
1,20,4,2,nomp_inspired,-57.241126,248.240,19
1,20,4,2,parafac_als,-7.123074,17.860,0
1,20,4,3,grid,-4.443558,16.479,0
1,20,4,3,deterministic,-13.077815,35.557,0
1,20,4,3,learned_scalar,-12.990462,44.042,0
1,20,4,3,nomp_inspired,-56.926768,282.648,19
1,20,4,3,parafac_als,-15.396044,18.411,0
1,20,4,4,grid,-10.053781,13.410,0
1,20,4,4,deterministic,-13.777579,32.066,0
1,20,4,4,learned_scalar,-14.118276,39.571,0
1,20,4,4,nomp_inspired,-57.681681,223.657,14
1,20,4,4,parafac_als,-23.676118,17.288,0
1,20,4,5,grid,-4.899131,15.146,0
1,20,4,5,deterministic,-15.469029,33.208,0
1,20,4,5,learned_scalar,-15.906025,40.813,0
1,20,4,5,nomp_inspired,-59.838724,257.780,18
1,20,4,5,parafac_als,-14.674976,20.900,0
1,20,8,1,grid,-6.087652,31.499,0
1,20,8,1,deterministic,-12.596998,84.636,0
1,20,8,1,learned_scalar,-12.609584,111.577,0
1,20,8,1,nomp_inspired,-56.592640,1336.660,47
1,20,8,1,parafac_als,-10.768277,26.064,0
1,20,8,2,grid,-7.115760,32.988,0
1,20,8,2,deterministic,-16.092789,83.943,0
1,20,8,2,learned_scalar,-15.855981,111.040,0
1,20,8,2,nomp_inspired,-55.358847,1508.199,64
1,20,8,2,parafac_als,-14.797747,23.931,0
1,20,8,3,grid,-5.734251,29.087,0
1,20,8,3,deterministic,-12.447571,73.970,0
1,20,8,3,learned_scalar,-12.555201,98.704,0
1,20,8,3,nomp_inspired,-54.829273,1223.851,49
1,20,8,3,parafac_als,-10.136931,26.049,0
1,20,8,4,grid,-4.789500,26.327,0
1,20,8,4,deterministic,-9.798455,63.502,0
1,20,8,4,learned_scalar,-10.089220,80.059,0
1,20,8,4,nomp_inspired,-56.007169,1247.993,52
1,20,8,4,parafac_als,-13.686084,26.358,0
1,20,8,5,grid,-6.564223,28.770,0
1,20,8,5,deterministic,-11.941922,76.777,0
1,20,8,5,learned_scalar,-12.566215,101.310,0
1,20,8,5,nomp_inspired,-54.822333,1242.525,50
1,20,8,5,parafac_als,-14.894809,29.769,0
1,30,2,1,grid,-6.897969,15.933,0
