separation_bins,dynamic_range_db,snr_db,scene_count,seed_count,mean_candan_gain_vs_grid_db,candan_gain_vs_grid_db_ci95_low,candan_gain_vs_grid_db_ci95_high,mean_gated_candan_gain_vs_grid_db,gated_candan_gain_vs_grid_db_ci95_low,gated_candan_gain_vs_grid_db_ci95_high,mean_grid_per_component_hit,grid_per_component_hit_ci95_low,grid_per_component_hit_ci95_high,mean_candan_per_component_hit,candan_per_component_hit_ci95_low,candan_per_component_hit_ci95_high,mean_gated_candan_per_component_hit,gated_candan_per_component_hit_ci95_low,gated_candan_per_component_hit_ci95_high,mean_grid_designated_pair_assignment,grid_designated_pair_assignment_ci95_low,grid_designated_pair_assignment_ci95_high,mean_candan_designated_pair_assignment,candan_designated_pair_assignment_ci95_low,candan_designated_pair_assignment_ci95_high,mean_gated_candan_designated_pair_assignment,gated_candan_designated_pair_assignment_ci95_low,gated_candan_designated_pair_assignment_ci95_high,mean_grid_strict_recovery,grid_strict_recovery_ci95_low,grid_strict_recovery_ci95_high,mean_candan_strict_recovery,candan_strict_recovery_ci95_low,candan_strict_recovery_ci95_high,mean_gated_candan_strict_recovery,gated_candan_strict_recovery_ci95_low,gated_candan_strict_recovery_ci95_high,mean_grid_strong_hit,grid_strong_hit_ci95_low,grid_strong_hit_ci95_high,mean_candan_strong_hit,candan_strong_hit_ci95_low,candan_strong_hit_ci95_high,mean_gated_candan_strong_hit,gated_candan_strong_hit_ci95_low,gated_candan_strong_hit_ci95_high,mean_grid_weak_hit,grid_weak_hit_ci95_low,grid_weak_hit_ci95_high,mean_candan_weak_hit,candan_weak_hit_ci95_low,candan_weak_hit_ci95_high,mean_gated_candan_weak_hit,gated_candan_weak_hit_ci95_low,gated_candan_weak_hit_ci95_high,mean_candan_clipping_rate,candan_clipping_rate_ci95_low,candan_clipping_rate_ci95_high,mean_candan_any_clipping,candan_any_clipping_ci95_low,candan_any_clipping_ci95_high,mean_candan_minimum_zeta,candan_minimum_zeta_ci95_low,candan_minimum_zeta_ci95_high,mean_gate_pass,gate_pass_ci95_low,gate_pass_ci95_high
0.25,20.0,20.0,25,5,11.702146475965979,8.342365985701873,15.061926966230084,11.702146475965979,8.342365985701873,15.061926966230084,0.45,0.3622010966914917,0.5377989033085083,0.7699999999999999,0.7359956309670871,0.8040043690329127,0.7699999999999999,0.7359956309670871,0.8040043690329127,0.12000000000000002,0.0,0.3421156084158235,0.96,0.8489421957920882,1.0,0.96,0.8489421957920882,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.72,0.3868265873762648,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.31999999999999995,0.03685704460354561,0.6031429553964542,0.96,0.8489421957920882,1.0,0.96,0.8489421957920882,1.0,0.15999999999999998,0.14866521032236238,0.17133478967763757,1.0,1.0,1.0,0.8059204313654235,0.7986994390331139,0.813141423697733,1.0,1.0,1.0
0.25,20.0,30.0,25,5,9.978238682986506,7.745257538193496,12.211219827779516,9.978238682986506,7.745257538193496,12.211219827779516,0.38,0.267220266685048,0.492779733314952,0.6900000000000001,0.6090534107645649,0.7709465892354352,0.6900000000000001,0.6090534107645649,0.7709465892354352,0.16,0.0,0.36777012673671355,0.76,0.48796504773669774,1.0,0.76,0.48796504773669774,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5599999999999999,0.19166293340160367,0.9283370665983962,0.9199999999999999,0.7839825238683489,1.0,0.9199999999999999,0.7839825238683489,1.0,0.43999999999999995,0.23222987326328648,0.6477701267367134,0.8,0.5516672003592472,1.0,0.8,0.5516672003592472,1.0,0.1633333333333333,0.1540785163160073,0.1725881503506593,1.0,1.0,1.0,0.8043667444427742,0.8000059833231916,0.8087275055623568,1.0,1.0,1.0
0.5,0.0,0.0,25,5,10.564982131657253,5.998084698407239,15.131879564907265,10.564982131657253,5.998084698407239,15.131879564907265,0.64,0.5289421957920883,0.7510578042079117,0.8400000000000001,0.7289421957920883,0.9510578042079119,0.8400000000000001,0.7289421957920883,0.9510578042079119,0.2,0.02440219338298341,0.3755978066170166,0.6799999999999999,0.34682658737626476,1.0,0.6799999999999999,0.34682658737626476,1.0,0.0,0.0,0.0,0.08,0.0,0.21601747613165112,0.08,0.0,0.21601747613165112,0.48,0.19685704460354564,0.7631429553964544,0.8,0.5516672003592472,1.0,0.8,0.5516672003592472,1.0,0.5599999999999999,0.11576878316835304,1.0,0.8,0.49585567724167295,1.0,0.8,0.49585567724167295,1.0,0.09,0.05537164554388108,0.12462835445611892,0.7999999999999999,0.49585567724167284,1.0,0.7128912952932286,0.6582783313550118,0.7675042592314454,1.0,1.0,1.0
0.5,0.0,10.0,25,5,11.86357717608923,9.636798764420867,14.090355587757593,11.86357717608923,9.636798764420867,14.090355587757593,0.6799999999999999,0.5370737404506488,0.8229262595493511,0.8699999999999999,0.741261536603546,0.9987384633964538,0.8699999999999999,0.741261536603546,0.9987384633964538,0.31999999999999995,0.18398252386834882,0.4560174761316511,0.72,0.43685704460354563,1.0,0.72,0.43685704460354563,1.0,0.0,0.0,0.0,0.24000000000000005,0.032229873263286496,0.44777012673671357,0.24000000000000005,0.032229873263286496,0.44777012673671357,0.52,0.3839825238683489,0.6560174761316511,0.8,0.44880438676596696,1.0,0.8,0.44880438676596696,1.0,0.56,0.35222987326328653,0.7677701267367136,0.8,0.6244021933829834,0.9755978066170167,0.8,0.6244021933829834,0.9755978066170167,0.08666666666666666,0.059684470254854946,0.11364886307847837,0.8800000000000001,0.6578843915841767,1.0,0.7087668480598758,0.6269592306696655,0.790574465450086,1.0,1.0,1.0
0.5,0.0,20.0,25,5,12.548451572620854,10.364154155864014,14.732748989377694,12.548451572620854,10.364154155864014,14.732748989377694,0.67,0.5758461655825782,0.7641538344174219,0.8800000000000001,0.7761149366316433,0.9838850633683569,0.8800000000000001,0.7761149366316433,0.9838850633683569,0.2,0.02440219338298341,0.3755978066170166,0.8,0.49585567724167295,1.0,0.8,0.49585567724167295,1.0,0.0,0.0,0.0,0.16,0.0,0.36777012673671355,0.16,0.0,0.36777012673671355,0.52,0.18682658737626484,0.8531734126237351,0.8800000000000001,0.7439825238683491,1.0,0.8800000000000001,0.7439825238683491,1.0,0.44000000000000006,0.11621364305825943,0.7637863569417407,0.8,0.49585567724167295,1.0,0.8,0.49585567724167295,1.0,0.07999999999999999,0.06268582277194053,0.09731417722805945,0.8400000000000001,0.6322298732632865,1.0,0.7178825303460716,0.6896665288543936,0.7460985318377497,1.0,1.0,1.0
0.5,0.0,30.0,25,5,10.696063272724837,8.076017802345802,13.316108743103872,10.696063272724837,8.076017802345802,13.316108743103872,0.7,0.6018378419261221,0.7981621580738778,0.8800000000000001,0.8244710978960442,0.935528902103956,0.8800000000000001,0.8244710978960442,0.935528902103956,0.24,0.0,0.5637863569417406,0.76,0.4362136430582593,1.0,0.76,0.4362136430582593,1.0,0.0,0.0,0.0,0.16,0.0,0.36777012673671355,0.16,0.0,0.36777012673671355,0.6399999999999999,0.4322298732632863,0.8477701267367135,0.8799999999999999,0.7439825238683488,1.0,0.8799999999999999,0.7439825238683488,1.0,0.6000000000000001,0.42440219338298346,0.7755978066170167,0.8400000000000001,0.6322298732632865,1.0,0.8400000000000001,0.6322298732632865,1.0,0.09,0.0786652103223624,0.1013347896776376,0.9199999999999999,0.7839825238683489,1.0,0.7171912211011611,0.653156018605949,0.7812264235963732,1.0,1.0,1.0
0.5,10.0,0.0,25,5,10.360549042474762,8.419697507941637,12.301400577007888,10.360549042474762,8.419697507941637,12.301400577007888,0.45999999999999996,0.2768808685951437,0.6431191314048562,0.6799999999999999,0.551261536603546,0.8087384633964538,0.6799999999999999,0.551261536603546,0.8087384633964538,0.16,0.0,0.36777012673671355,0.6,0.35166720035924715,0.8483327996407528,0.6,0.35166720035924715,0.8483327996407528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.35166720035924715,0.8483327996407528,0.72,0.43685704460354563,1.0,0.72,0.43685704460354563,1.0,0.4,0.048804386765966934,0.7511956132340332,0.76,0.5522298732632864,0.9677701267367136,0.76,0.5522298732632864,0.9677701267367136,0.12999999999999998,0.12074518298267399,0.13925481701732595,1.0,1.0,1.0,0.7938410338873438,0.7832541818616694,0.8044278859130183,1.0,1.0,1.0
0.5,10.0,10.0,25,5,10.675087604907116,9.668450337615166,11.681724872199066,10.675087604907116,9.668450337615166,11.681724872199066,0.52,0.41611493663164323,0.6238850633683568,0.69,0.6380574683158216,0.7419425316841783,0.69,0.6380574683158216,0.7419425316841783,0.16,0.0,0.36777012673671355,0.4,0.22440219338298348,0.5755978066170165,0.4,0.22440219338298348,0.5755978066170165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6000000000000001,0.35166720035924726,0.8483327996407529,0.8,0.6244021933829834,0.9755978066170167,0.8,0.6244021933829834,0.9755978066170167,0.32,0.18398252386834887,0.4560174761316511,0.43999999999999995,0.23222987326328642,0.6477701267367135,0.43999999999999995,0.23222987326328642,0.6477701267367135,0.12,0.10268582277194054,0.13731417722805944,1.0,1.0,1.0,0.7882473258896636,0.7782804692385975,0.7982141825407297,1.0,1.0,1.0
0.5,10.0,20.0,25,5,14.266774517543514,11.778452072130651,16.755096962956376,14.266774517543514,11.778452072130651,16.755096962956376,0.61,0.49894219579208826,0.7210578042079117,0.77,0.7359956309670872,0.8040043690329128,0.77,0.7359956309670872,0.8040043690329128,0.08,0.0,0.21601747613165118,0.44000000000000006,0.2322298732632866,0.6477701267367135,0.44000000000000006,0.2322298732632866,0.6477701267367135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56,0.2879650477366978,0.8320349522633024,0.8,0.49585567724167295,1.0,0.8,0.49585567724167295,1.0,0.4,0.22440219338298348,0.5755978066170165,0.6,0.2073513677044886,0.9926486322955114,0.6,0.2073513677044886,0.9926486322955114,0.09666666666666665,0.06597191111680029,0.12736142221653302,0.96,0.8489421957920882,1.0,0.7918367352593148,0.7823031096785863,0.8013703608400432,1.0,1.0,1.0
0.5,10.0,30.0,25,5,12.08552924580538,10.401661263105693,13.769397228505069,12.08552924580538,10.401661263105693,13.769397228505069,0.55,0.4111777447401104,0.6888222552598897,0.7,0.5758336001796236,0.8241663998203763,0.7,0.5758336001796236,0.8241663998203763,0.0,0.0,0.0,0.32,0.03685704460354566,0.6031429553964543,0.32,0.03685704460354566,0.6031429553964543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6399999999999999,0.27166293340160363,1.0,0.8,0.49585567724167295,1.0,0.8,0.49585567724167295,1.0,0.24000000000000005,0.0,0.5120349522633023,0.36000000000000004,0.08796504773669783,0.6320349522633022,0.36000000000000004,0.08796504773669783,0.6320349522633022,0.11000000000000001,0.09866521032236242,0.12133478967763761,1.0,1.0,1.0,0.7879626773627632,0.77087328020836,0.8050520745171663,1.0,1.0,1.0
