profile,seed,sample_index,snr_db,l_value,source_alpha,delay_alpha,angle_alpha,estimator_mode,grid_channel_nmse_db,trained_refinement_channel_nmse_db,trained_refinement_gain_vs_grid_db,grid_physical_delay_rmse_ns,trained_refinement_physical_delay_rmse_ns,physical_delay_rmse_reduction_vs_grid_ns,grid_projected_broadside_angle_rmse_deg,trained_refinement_projected_broadside_angle_rmse_deg,projected_angle_rmse_reduction_vs_grid_deg,matched_physical_paths,support_recall,topk_energy_efficiency
A,20260627.0,1.0,10.0,4.0,0.6419195571509573,0.6419195571509573,0.0,axis-ablation-not-paper-estimator,-8.167683906390996,-11.72150193771036,3.5538180313193646,96.46187671798978,96.69620221472832,-0.23432549673853487,44.24239270161041,44.24239270161041,0.0,4.0,1.0,1.0
A,20260627.0,2.0,10.0,4.0,0.6419195571509573,0.6419195571509573,0.0,axis-ablation-not-paper-estimator,-6.30685831969664,-11.428818680589266,5.1219603608926265,59.15706670988463,33.35162866527747,25.805438044607165,20.636865329112773,20.636865329112773,0.0,4.0,1.0,0.9999999999999999
A,20260627.0,3.0,10.0,4.0,0.6419195571509573,0.6419195571509573,0.0,axis-ablation-not-paper-estimator,-7.265927770681921,-11.090607153102404,3.8246793824204826,54.18400278379088,53.45700954714667,0.726993236644212,15.81210098514961,15.81210098514961,0.0,4.0,0.75,0.998524142031372
A,20260627.0,0.0,10.0,8.0,0.6419195571509573,0.6419195571509573,0.0,axis-ablation-not-paper-estimator,-9.815181132782522,-16.470076207918392,6.654895075135871,81.02234503100252,56.97291946163234,24.04942556937018,41.54171878068374,41.54171878068374,0.0,8.0,0.875,0.9999690721797199
A,20260627.0,1.0,10.0,8.0,0.6419195571509573,0.6419195571509573,0.0,axis-ablation-not-paper-estimator,-10.415440168905706,-16.600362419805503,6.184922250899797,93.77079228378938,85.28663871362603,8.484153570163343,27.0657954601961,27.0657954601961,0.0,8.0,0.875,0.9972462684777201
A,20260627.0,2.0,10.0,8.0,0.6419195571509573,0.6419195571509573,0.0,axis-ablation-not-paper-estimator,-8.88479375647471,-17.750415182041934,8.865621425567223,80.44145976040747,65.56233120976809,14.87912855063938,20.13818599422768,20.13818599422768,0.0,8.0,0.875,0.9991463213590843
A,20260627.0,3.0,10.0,8.0,0.6419195571509573,0.6419195571509573,0.0,axis-ablation-not-paper-estimator,-10.313410156086722,-17.66749934154697,7.35408918546025,81.0223450310025,74.08434285289775,6.938002178104753,40.66597774328609,40.66597774328609,0.0,8.0,1.0,1.0
A,20260627.0,0.0,10.0,16.0,0.6419195571509573,0.6419195571509573,0.0,axis-ablation-not-paper-estimator,-11.824869998053703,-19.229822987520304,7.404952989466601,283.31271858191536,296.9527521408586,-13.64003355894323,24.965477840695616,24.965477840695616,0.0,16.0,0.8125,0.9914660665288919
A,20260627.0,1.0,10.0,16.0,0.6419195571509573,0.6419195571509573,0.0,axis-ablation-not-paper-estimator,-13.06049409276543,-19.111038798512052,6.050544705746622,795.8043559418098,799.6904632217681,-3.88610727995831,24.590272561947742,24.590272561947742,0.0,16.0,0.9375,0.9971537773066427
A,20260627.0,2.0,10.0,16.0,0.6419195571509573,0.6419195571509573,0.0,axis-ablation-not-paper-estimator,-11.628982635051235,-20.56821390152931,8.939231266478076,154.5312565597661,160.77719830566497,-6.245941745898875,18.669116451838686,18.669116451838686,0.0,16.0,0.875,0.9952961242334611
A,20260627.0,3.0,10.0,16.0,0.6419195571509573,0.6419195571509573,0.0,axis-ablation-not-paper-estimator,-12.096108522098586,-17.883972836968187,5.787864314869601,157.75273228404552,161.36146231874858,-3.6087300347030578,18.018736380844988,26.555838794915168,-8.53710241407018,16.0,0.875,0.9952354665255766
A,20260627.0,0.0,20.0,4.0,0.6419195571509573,0.6419195571509573,0.0,axis-ablation-not-paper-estimator,-6.92424309267078,-10.654063504817202,3.729820412146422,68.5523751852662,44.714328948252344,23.838046237013856,17.058252561413962,17.058252561413962,0.0,4.0,1.0,0.9999999999999999
A,20260627.0,1.0,20.0,4.0,0.6419195571509573,0.6419195571509573,0.0,axis-ablation-not-paper-estimator,-8.21296240488958,-11.823299330766304,3.610336925876723,96.46187671798978,96.69620221472832,-0.23432549673853487,44.24239270161041,44.24239270161041,0.0,4.0,1.0,1.0
A,20260627.0,2.0,20.0,4.0,0.6419195571509573,0.6419195571509573,0.0,axis-ablation-not-paper-estimator,-6.349070879540781,-11.54174725289174,5.1926763733509596,59.15706670988463,33.35162866527747,25.805438044607165,20.636865329112773,20.636865329112773,0.0,4.0,1.0,0.9999999999999999
A,20260627.0,3.0,20.0,4.0,0.6419195571509573,0.6419195571509573,0.0,axis-ablation-not-paper-estimator,-7.363217884352967,-10.497743592006497,3.1345257076535296,133.3330526566277,128.3429964876528,4.990056168974888,11.391828694198146,11.391828694198146,0.0,4.0,1.0,1.0
A,20260627.0,0.0,20.0,8.0,0.6419195571509573,0.6419195571509573,0.0,axis-ablation-not-paper-estimator,-9.924947186263836,-18.30757576796865,8.382628581704815,81.73585519635351,80.6297506328817,1.106104563471817,22.671659297124112,22.671659297124112,0.0,8.0,1.0,1.0000000000000002
A,20260627.0,1.0,20.0,8.0,0.6419195571509573,0.6419195571509573,0.0,axis-ablation-not-paper-estimator,-10.635632084259075,-18.888588753549477,8.252956669290402,78.69716059344019,79.44283726156547,-0.7456766681252844,23.99837310743931,23.99837310743931,0.0,8.0,0.875,0.9984862550301223
A,20260627.0,2.0,20.0,8.0,0.6419195571509573,0.6419195571509573,0.0,axis-ablation-not-paper-estimator,-8.972263363502321,-18.522841976125523,9.550578612623202,80.44145976040747,65.56233120976809,14.87912855063938,20.13818599422768,20.13818599422768,0.0,8.0,0.875,0.9991463213590843
A,20260627.0,3.0,20.0,8.0,0.6419195571509573,0.6419195571509573,0.0,axis-ablation-not-paper-estimator,-10.538860376575009,-18.99838428765638,8.45952391108137,81.0223450310025,74.08434285289775,6.938002178104753,40.66597774328609,40.66597774328609,0.0,8.0,1.0,1.0
A,20260627.0,0.0,20.0,16.0,0.6419195571509573,0.6419195571509573,0.0,axis-ablation-not-paper-estimator,-12.882294725267457,-21.788948356495034,8.906653631227577,230.21018481051914,243.83106919635145,-13.620884385832312,20.164277457924907,19.94831645054306,0.21596100738184631,16.0,0.9375,0.9995121605899672
A,20260627.0,1.0,20.0,16.0,0.6419195571509573,0.6419195571509573,0.0,axis-ablation-not-paper-estimator,-13.866449567409678,-23.180188942612805,9.313739375203127,186.91719085099615,203.85905730250266,-16.941866451506513,31.17877578624367,16.329172527850417,14.849603258393252,16.0,0.9375,0.9995208716181971
A,20260627.0,2.0,20.0,16.0,0.6419195571509573,0.6419195571509573,0.0,axis-ablation-not-paper-estimator,-12.162632987546981,-25.95653788524523,13.793904897698248,176.08411177507165,185.30879439250802,-9.224682617436372,28.108760355921778,27.0458663632548,1.0628939926669787,16.0,0.9375,0.998453567074253
A,20260627.0,3.0,20.0,16.0,0.6419195571509573,0.6419195571509573,0.0,axis-ablation-not-paper-estimator,-13.206889895613061,-21.337488683256836,8.130598787643775,157.75273228404552,162.70859908380655,-4.955866799761026,19.148133338324687,27.334753038602635,-8.186619700277948,16.0,0.9375,0.9996936493138838
A,20260627.0,0.0,30.0,4.0,0.6419195571509573,0.6419195571509573,0.0,axis-ablation-not-paper-estimator,-6.927196938321593,-10.663941976910285,3.7367450385886922,68.5523751852662,44.714328948252344,23.838046237013856,17.058252561413962,17.058252561413962,0.0,4.0,1.0,0.9999999999999999
