split,seed,separation_bins,dynamic_range_db,snr_db,sample_index,pair_axis,component_index,component_role,theory_ratio,theory_condition_satisfied,noiseless_candidate_gap,interference_envelope,noise_envelope,candidate_axis_correctness,candidate_all_axis_correct,grid_half_bin_hit,candan_half_bin_hit,local_half_bin_hit
validation,20260820,0.25,0.0,10.0,4,1,2,nuisance,0.47314619337646424,0.0,0.009595344384014881,0.00136889981025596,0.00877103634302958,1.0,1.0,1.0,1.0,1.0
validation,20260820,0.25,0.0,10.0,4,1,3,nuisance,1.9804515130526679,1.0,0.03618572047836577,0.0003646885762311552,0.00877103634302958,1.0,1.0,1.0,1.0,1.0
validation,20260820,0.25,0.0,20.0,0,0,0,strong_pair,0.007827390265159025,0.0,0.015156147941926768,0.9654289447107001,0.002719277653350308,0.6666666666666666,0.0,1.0,1.0,1.0
validation,20260820,0.25,0.0,20.0,0,0,1,weak_pair,0.010557502054317198,0.0,0.014189039762147804,0.6692692139967928,0.002719277653350308,1.0,1.0,0.0,1.0,1.0
validation,20260820,0.25,0.0,20.0,0,0,2,nuisance,2.2603829769892703,1.0,0.023043775492913476,0.0023780389800475347,0.002719277653350308,1.0,1.0,1.0,1.0,1.0
validation,20260820,0.25,0.0,20.0,0,0,3,nuisance,0.9246279576818727,0.0,0.006428544979237616,0.0007570097148980897,0.002719277653350308,1.0,1.0,1.0,1.0,1.0
validation,20260820,0.25,0.0,20.0,1,1,0,strong_pair,0.009953903226206475,0.0,0.01962933798445965,0.9836467494395775,0.0023653474421686757,1.0,1.0,1.0,1.0,1.0
validation,20260820,0.25,0.0,20.0,1,1,1,weak_pair,0.010013190123117943,0.0,0.01906941983149102,0.9498496608130185,0.0023653474421686757,0.6666666666666666,0.0,0.0,1.0,1.0
validation,20260820,0.25,0.0,20.0,1,1,2,nuisance,2.118940963619387,1.0,0.018253737805240644,0.0019419310801317346,0.0023653474421686757,1.0,1.0,1.0,1.0,1.0
validation,20260820,0.25,0.0,20.0,1,1,3,nuisance,1.271340698189286,1.0,0.006727258099809119,0.0002803863526317479,0.0023653474421686757,1.0,1.0,1.0,1.0,1.0
validation,20260820,0.25,0.0,20.0,2,2,0,strong_pair,3.4031876586083753e-06,0.0,6.668550161076877e-06,0.9770392398940531,0.0027113395676400223,0.0,0.0,0.0,0.0,0.0
validation,20260820,0.25,0.0,20.0,2,2,1,weak_pair,0.0023847672803219036,0.0,0.004630177913229394,0.9680705793717203,0.0027113395676400223,1.0,1.0,1.0,1.0,1.0
validation,20260820,0.25,0.0,20.0,2,2,2,nuisance,2.9049557032135107,1.0,0.01630108136170416,9.439708157490919e-05,0.0027113395676400223,1.0,1.0,0.0,1.0,1.0
validation,20260820,0.25,0.0,20.0,2,2,3,nuisance,1.2356149859010318e-06,0.0,4.332956565600369e-06,1.7506489769716995,0.0027113395676400223,0.0,0.0,0.0,0.0,0.0
validation,20260820,0.25,0.0,20.0,3,0,0,strong_pair,0.0031660071640052328,0.0,0.006115817438624438,0.9635077527564186,0.002348785434018822,0.6666666666666666,0.0,1.0,1.0,1.0
validation,20260820,0.25,0.0,20.0,3,0,1,weak_pair,0.018942096579028598,0.0,0.03466870955962342,0.9127745594127776,0.002348785434018822,1.0,1.0,1.0,1.0,1.0
validation,20260820,0.25,0.0,20.0,3,0,2,nuisance,7.891821566445781,1.0,0.042317138904239604,0.0003322900659748926,0.002348785434018822,1.0,1.0,1.0,1.0,1.0
validation,20260820,0.25,0.0,20.0,3,0,3,nuisance,8.382166323998055,1.0,0.04391827505178181,0.00027095947166529924,0.002348785434018822,1.0,1.0,1.0,1.0,1.0
validation,20260820,0.25,0.0,20.0,4,1,0,strong_pair,0.021046921344071327,0.0,0.041988393781871136,0.9947903055772747,0.0027046034275232996,1.0,1.0,1.0,1.0,1.0
validation,20260820,0.25,0.0,20.0,4,1,1,weak_pair,0.03010519489974717,0.0,0.05805025202006975,0.961418901060356,0.0027046034275232996,0.6666666666666666,0.0,0.0,1.0,1.0
validation,20260820,0.25,0.0,20.0,4,1,2,nuisance,1.735139957711506,1.0,0.009707341621966625,9.267571380018669e-05,0.0027046034275232996,1.0,1.0,1.0,1.0,1.0
validation,20260820,0.25,0.0,20.0,4,1,3,nuisance,7.6583384029242625,1.0,0.04302558800700018,0.00010446465900649386,0.0027046034275232996,1.0,1.0,1.0,1.0,1.0
validation,20260820,0.25,0.0,30.0,0,0,0,strong_pair,0.0039045664686459033,0.0,0.006831013302052158,0.8739640442321113,0.0007826602875765492,1.0,1.0,1.0,1.0,1.0
validation,20260820,0.25,0.0,30.0,0,0,1,weak_pair,0.018733587779519927,0.0,0.03456197479228118,0.9216774471688628,0.0007826602875765492,0.6666666666666666,0.0,0.0,1.0,1.0
validation,20260820,0.25,0.0,30.0,0,0,2,nuisance,1.5099063899873432e-06,0.0,5.769431597258277e-06,1.9097435933653533,0.0007826602875765492,0.0,0.0,0.0,0.0,0.0
validation,20260820,0.25,0.0,30.0,0,0,3,nuisance,12.68180156145534,1.0,0.024382016455895994,0.0001786391121081894,0.0007826602875765492,1.0,1.0,1.0,1.0,1.0
validation,20260820,0.25,0.0,30.0,1,1,0,strong_pair,0.026990891356247087,0.0,0.04547936921512041,0.8416076786604779,0.0008870840142296242,1.0,1.0,0.0,1.0,1.0
validation,20260820,0.25,0.0,30.0,1,1,1,weak_pair,0.027692150825688096,0.0,0.05318984013898209,0.9594904697877948,0.0008870840142296242,0.6666666666666666,0.0,0.0,1.0,1.0
validation,20260820,0.25,0.0,30.0,1,1,2,nuisance,17.84770481988196,1.0,0.0381961683287686,0.00018297425696664978,0.0008870840142296242,1.0,1.0,1.0,1.0,1.0
