profile,seed,snr_db,l_value,sample_index,component_index,delay_resolution_ns,spatial_resolution,gate_pass,grid_delay_error_bins,grid_projected_spatial_error_bins,candan_delay_error_bins,candan_projected_spatial_error_bins,gated_candan_delay_error_bins,gated_candan_projected_spatial_error_bins
D,20260628,20.0,16,5,3,130.20833333333334,0.25,0,0.36319999000988895,0.1826171875,0.8631999900098889,0.5668632420829045,0.36319999000988895,0.1826171875
D,20260628,20.0,16,5,4,130.20833333333334,0.25,0,0.3854720600647851,0.4091796875,0.8854720600647851,0.0908203125,0.3854720600647851,0.4091796875
D,20260628,20.0,16,5,5,130.20833333333334,0.25,0,5.237631944008172,0.5927734375,4.992370724908638,1.2338888759594524,5.237631944008172,0.5927734375
D,20260628,20.0,16,5,6,130.20833333333334,0.25,0,4.095615972299129,0.3408203125,3.5956159722991288,0.3408203125,4.095615972299129,0.3408203125
D,20260628,20.0,16,5,7,130.20833333333334,0.25,0,0.026880000518758607,0.0322265625,0.2045197860893282,0.0322265625,0.026880000518758607,0.0322265625
D,20260628,20.0,16,5,8,130.20833333333334,0.25,0,2.1042559567140415,0.6962890625,0.9287299989668228,1.8037109375,2.1042559567140415,0.6962890625
D,20260628,20.0,16,5,9,130.20833333333334,0.25,0,5.619199554435908,0.0634765625,5.365780961308714,0.0634765625,5.619199554435908,0.0634765625
D,20260628,20.0,16,5,10,130.20833333333334,0.25,0,0.4700159843196161,1.015625,0.25258118649284,1.515625,0.4700159843196161,1.015625
D,20260628,20.0,16,5,11,130.20833333333334,0.25,0,5.455743907485157,0.439453125,4.955743907485157,0.939453125,5.455743907485157,0.439453125
D,20260628,20.0,16,5,12,130.20833333333334,0.25,0,0.046784018399193834,0.044921875,0.5467840183991939,0.044921875,0.046784018399193834,0.044921875
D,20260628,20.0,16,6,0,130.20833333333334,0.25,1,0.0,0.017578125,0.025985458156640103,6.380098154501468e-05,0.025985458156640103,6.380098154501468e-05
D,20260628,20.0,16,6,1,130.20833333333334,0.25,1,0.07903993921354407,0.4560546875,0.22635019393634087,0.0439453125,0.22635019393634087,0.0439453125
D,20260628,20.0,16,6,2,130.20833333333334,0.25,1,0.006271998747252023,0.408203125,0.5062719987472518,0.3730577895729801,0.5062719987472518,0.3730577895729801
D,20260628,20.0,16,6,3,130.20833333333334,0.25,1,0.6368000099901111,0.0966796875,0.35294790164038403,0.4229986863267001,0.35294790164038403,0.4229986863267001
D,20260628,20.0,16,6,4,130.20833333333334,0.25,1,0.3854720600647851,0.265625,0.11452793993521489,0.234375,0.11452793993521489,0.234375
D,20260628,20.0,16,6,5,130.20833333333334,0.25,1,0.09561597229912848,1.08984375,0.04785600802349401,0.58984375,0.04785600802349401,0.58984375
D,20260628,20.0,16,6,6,130.20833333333334,0.25,1,1.2376319440081711,0.396484375,1.7376319440081713,0.103515625,1.7376319440081713,0.103515625
