profile,seed,snr_db,l_value,n_samples,mean_channel_nmse_db,mean_support_recall,mean_dominant_energy_recall,mean_topk_energy_efficiency,mean_clean_topk_energy_fraction,mean_effective_support_95,mean_effective_support_99,mean_delay_support_recall,mean_angle_support_recall,mean_delay_bin_rmse,mean_angle_bin_rmse,mean_physical_delay_rmse_ns,mean_projected_broadside_angle_rmse_deg,mean_matched_physical_paths,mean_clean_grid_physical_delay_rmse_ns,mean_clean_grid_projected_broadside_angle_rmse_deg,mean_physical_delay_rmse_gap_vs_clean_grid_ns,mean_projected_angle_rmse_gap_vs_clean_grid_deg
A,20260626.0,30.0,8.0,50.0,-7.951073343130169,1.0,0.830307832659032,1.0,0.8303078326590319,37.66,170.82,1.0,1.0,0.0,0.0,69.98617422385036,37.008980821593745,8.0,69.98617422385036,37.008980821593745,0.0,0.0
A,20260626.0,30.0,16.0,50.0,-10.13744945309377,0.99375,0.8962109150538684,0.9999933764782402,0.8962167625645117,37.66,170.82,0.99375,0.995,0.03825140769936442,0.026213203435596428,174.44896206926984,28.920048578214356,16.0,173.75394278821463,28.845303729620518,0.695019281055203,0.07474484859383537
A,20260627.0,0.0,4.0,50.0,-5.397325363645771,0.945,0.7064494676596351,0.9975620195973482,0.7081362078360519,36.84,169.54,0.96,0.945,0.08,0.1223606797749979,44.325649479545966,22.21677390627479,4.0,43.028812384319416,22.410078333245522,1.296837095226555,-0.19330442697073622
A,20260627.0,0.0,8.0,50.0,-7.668567215910247,0.9525,0.8271000341202166,0.9982454733799997,0.828553570678287,36.84,169.54,0.9575,0.96,0.16434513391499095,0.1574065481849753,73.4166785293248,37.52289290248797,8.0,71.92554413218718,37.61974293773108,1.4911343971376134,-0.09685003524311775
A,20260627.0,0.0,16.0,50.0,-9.431642233084938,0.8675,0.8911769271415468,0.9933460155412567,0.8971480513294628,36.84,169.54,0.9,0.90125,0.7961092965081673,0.6334931752446312,193.84520595346908,28.715532491641774,16.0,179.06796925092175,29.113124717037504,14.77723670254737,-0.3975922253957285
A,20260627.0,10.0,4.0,50.0,-5.451108522014429,0.98,0.708013246268363,0.9998095562449452,0.7081362078360519,36.84,169.54,0.985,0.98,0.034142135623730946,0.04,42.59974815109756,22.48002428686184,4.0,43.028812384319416,22.410078333245522,-0.4290642332218516,0.06994595361631788
A,20260627.0,10.0,8.0,50.0,-7.797386787870117,0.9775,0.8283475919411855,0.9997577119681109,0.828553570678287,36.84,169.54,0.9825,0.98,0.06702459173643832,0.06985023648715917,72.85856837720685,37.536743209656855,8.0,71.92554413218718,37.61974293773108,0.9330242450196661,-0.08299972807422983
A,20260627.0,10.0,16.0,50.0,-10.010155170198624,0.9525,0.8966386521927697,0.9994292994397159,0.8971480513294628,36.84,169.54,0.955,0.9625,0.29022477062330587,0.254704335778264,180.63306231200895,29.208859112074865,16.0,179.06796925092175,29.113124717037504,1.565093061087174,0.09573439503735834
A,20260627.0,20.0,4.0,50.0,-5.455647630869302,1.0,0.7081362078360516,1.0,0.7081362078360519,36.84,169.54,1.0,1.0,0.0,0.0,43.028812384319416,22.410078333245522,4.0,43.028812384319416,22.410078333245522,0.0,0.0
A,20260627.0,20.0,8.0,50.0,-7.813453079692324,0.995,0.8285382830237847,0.9999811300870288,0.828553570678287,36.84,169.54,0.995,0.995,0.02,0.022247448713915888,71.82388433450873,37.61883709525578,8.0,71.92554413218718,37.61974293773108,-0.10165979767845044,-0.0009058424753040129
