profile,seed,sample_index,snr_db,l_value,channel_nmse_db,support_recall,dominant_energy_recall,topk_energy_efficiency,clean_topk_energy_fraction,effective_support_95,effective_support_99,delay_support_recall,angle_support_recall,delay_bin_rmse,angle_bin_rmse,physical_delay_rmse_ns,projected_broadside_angle_rmse_deg,matched_physical_paths,clean_grid_physical_delay_rmse_ns,clean_grid_projected_broadside_angle_rmse_deg,physical_delay_rmse_gap_vs_clean_grid_ns,projected_angle_rmse_gap_vs_clean_grid_deg,physical_truth_path_count,noise_variance
A,20260626.0,22.0,0.0,4.0,-6.362337939741684,1.0,0.7714159271665827,1.0,0.7714159271665827,28.0,124.0,1.0,1.0,0.0,0.0,75.39325416267272,23.589002986526815,4.0,75.39325416267272,23.589002986526815,0.0,0.0,23.0,1.0000000117268963
A,20260626.0,23.0,0.0,4.0,-4.453499370992015,0.75,0.6423099939338154,0.9863752380670034,0.6511821963338702,48.0,212.0,0.75,0.75,0.5,0.7071067811865476,66.44836011495775,23.53549651388162,4.0,72.56653918561504,22.7663302692976,-6.118179070657291,0.7691662445840173,23.0,1.000000099959899
A,20260626.0,24.0,0.0,4.0,-5.567923866113382,1.0,0.7236385498106782,1.0000000000000002,0.7236385498106781,43.0,195.0,1.0,1.0,0.0,0.0,24.89294174887195,28.441728263064938,4.0,24.89294174887195,28.441728263064938,0.0,0.0,23.0,0.9999999632338247
A,20260626.0,25.0,0.0,4.0,-5.603344712134421,1.0,0.7258226898510184,1.0,0.7258226898510184,45.0,205.0,1.0,1.0,0.0,0.0,25.04185920889692,24.980069120554795,4.0,25.04185920889692,24.980069120554795,0.0,0.0,23.0,0.9999999569286913
A,20260626.0,26.0,0.0,4.0,-4.302801401152215,1.0,0.6310223122121353,1.0,0.6310223122121353,38.0,158.0,1.0,1.0,0.0,0.0,66.44836011495775,19.049288972496672,4.0,66.44836011495775,19.049288972496672,0.0,0.0,23.0,1.00000006515145
A,20260626.0,27.0,0.0,4.0,-7.62959348162931,0.75,0.8317930758921588,0.9917626084456351,0.8387017909414909,19.0,72.0,1.0,0.75,0.0,0.8660254037844386,23.6651108860136,19.713578242445873,4.0,23.6651108860136,23.208048063697827,0.0,-3.494469821251954,23.0,0.9999999503670882
A,20260626.0,28.0,0.0,4.0,-3.31843764666258,1.0,0.5354311900453129,1.0,0.5354311900453129,81.0,334.0,1.0,1.0,0.0,0.0,28.47140178750838,23.375393898975094,4.0,28.47140178750838,23.375393898975094,0.0,0.0,23.0,0.9999999858250643
A,20260626.0,29.0,0.0,4.0,-5.515071841237519,1.0,0.7196693557215154,0.9999999999999999,0.7196693557215155,33.0,149.0,1.0,1.0,0.0,0.0,66.44836011495775,17.929327914944032,4.0,66.44836011495775,17.929327914944032,0.0,0.0,23.0,0.9999999702605877
A,20260626.0,30.0,0.0,4.0,-6.148057951638314,1.0,0.7588795544247747,1.0,0.7588795544247747,25.0,112.0,1.0,1.0,0.0,0.0,25.04185920889692,23.544871855541864,4.0,25.04185920889692,23.544871855541864,0.0,0.0,23.0,0.9999999090958394
A,20260626.0,31.0,0.0,4.0,-4.085541718697913,1.0,0.6118616550931444,1.0,0.6118616550931444,52.0,228.0,1.0,1.0,0.0,0.0,23.6651108860136,19.99725245423807,4.0,23.6651108860136,19.99725245423807,0.0,0.0,23.0,0.9999997232978964
A,20260626.0,32.0,0.0,4.0,-5.9124924829941765,1.0,0.745066196469209,1.0,0.745066196469209,36.0,174.0,1.0,1.0,0.0,0.0,23.6651108860136,21.99549384628181,4.0,23.6651108860136,21.99549384628181,0.0,0.0,23.0,0.999999981766174
A,20260626.0,33.0,0.0,4.0,-5.247420017656603,1.0,0.7022378315354388,1.0,0.7022378315354388,30.0,133.0,1.0,1.0,0.0,0.0,28.47140178750838,24.983653830194786,4.0,28.47140178750838,24.983653830194786,0.0,0.0,23.0,1.0000000741981754
A,20260626.0,34.0,0.0,4.0,-8.573749008888637,1.0,0.862367698522782,1.0000000000000002,0.8623676985227818,21.0,121.0,1.0,1.0,0.0,0.0,40.830723069811015,22.906262418297153,4.0,40.830723069811015,22.906262418297153,0.0,0.0,23.0,1.0000000515717735
A,20260626.0,35.0,0.0,4.0,-5.059671984930537,1.0,0.6905992730071484,1.0000000000000002,0.6905992730071483,41.0,186.0,1.0,1.0,0.0,0.0,65.05273672075286,17.39503428816769,4.0,65.05273672075286,17.39503428816769,0.0,0.0,23.0,1.000000059631847
A,20260626.0,36.0,0.0,4.0,-8.767717996490678,0.75,0.8686699678909575,0.9960503206097199,0.8721145407183966,12.0,73.0,0.75,0.75,0.7071067811865476,0.5,43.45591743575312,35.878688035630226,4.0,33.58167135986673,28.828060102875583,9.87424607588639,7.050627932754644,23.0,1.0000000830553186
A,20260626.0,37.0,0.0,4.0,-5.101721959634541,1.0,0.6917655250863376,1.0000000000000002,0.6917655250863375,38.0,173.0,1.0,1.0,0.0,0.0,35.028981052124465,24.25374821688168,4.0,35.028981052124465,24.25374821688168,0.0,0.0,23.0,0.9999998782611859
A,20260626.0,38.0,0.0,4.0,-6.164702087534062,1.0,0.76033699295317,1.0000000000000002,0.7603369929531699,24.0,127.0,1.0,1.0,0.0,0.0,71.29078904227308,18.122476252970944,4.0,71.29078904227308,18.122476252970944,0.0,0.0,23.0,0.999999947603449
A,20260626.0,39.0,0.0,4.0,-6.353089358763181,1.0,0.7694786836931261,1.0,0.7694786836931261,40.0,180.0,1.0,1.0,0.0,0.0,35.48427991697352,24.45910094547269,4.0,35.48427991697352,24.45910094547269,0.0,0.0,23.0,0.9999997375024979
A,20260626.0,40.0,0.0,4.0,-3.5199289258745003,1.0,0.557897132216083,1.0,0.557897132216083,58.0,261.0,1.0,1.0,0.0,0.0,25.04185920889692,18.682958923610684,4.0,25.04185920889692,18.682958923610684,0.0,0.0,23.0,0.9999999808273498
A,20260626.0,41.0,0.0,4.0,-5.998571411904262,1.0,0.7511322180992083,1.0000000000000002,0.7511322180992082,23.0,131.0,1.0,1.0,0.0,0.0,19.403903373800834,20.151074857319358,4.0,19.403903373800834,20.151074857319358,0.0,0.0,23.0,0.9999997838228845
A,20260626.0,42.0,0.0,4.0,-6.231624712539644,1.0,0.7657598869450413,1.0,0.7657598869450413,31.0,141.0,1.0,1.0,0.0,0.0,66.44836011495775,22.790787515507947,4.0,66.44836011495775,22.790787515507947,0.0,0.0,23.0,0.9999999732028492
A,20260626.0,43.0,0.0,4.0,-6.311404019448687,0.75,0.7690670725771603,0.9886737488887551,0.7778775085730483,32.0,148.0,0.75,1.0,0.8660254037844386,0.0,56.329779523793654,29.6775875611274,4.0,43.45591743575312,29.726653697812864,12.873862088040532,-0.049066136685464556,23.0,0.9999998632405293
A,20260626.0,44.0,0.0,4.0,-7.596628239357783,1.0,0.827745830852887,1.0000000000000002,0.8277458308528869,21.0,104.0,1.0,1.0,0.0,0.0,68.30788979660785,22.79385296354184,4.0,68.30788979660785,22.79385296354184,0.0,0.0,23.0,0.9999999802358397
A,20260626.0,45.0,0.0,4.0,-4.888589749137294,1.0,0.676672799348285,1.0,0.676672799348285,42.0,182.0,1.0,1.0,0.0,0.0,68.30788979660785,23.33600100349921,4.0,68.30788979660785,23.33600100349921,0.0,0.0,23.0,1.0000001179319253
A,20260626.0,46.0,0.0,4.0,-4.515278228526563,0.75,0.647824988799823,0.9886393539635387,0.6552692710467551,32.0,138.0,0.75,0.75,0.5,0.5,66.44836011495775,17.715158755014762,4.0,65.05273672075286,17.778234525117757,1.3956233942048897,-0.06307577010299426,23.0,0.999999901417457
A,20260626.0,47.0,0.0,4.0,-6.351059797302854,1.0,0.7693067338243008,0.9999999999999999,0.7693067338243009,36.0,178.0,1.0,1.0,0.0,0.0,29.49986093884424,29.938928698274893,4.0,29.49986093884424,29.938928698274893,0.0,0.0,23.0,0.9999999850412506
A,20260626.0,48.0,0.0,4.0,-4.940811904004091,1.0,0.681453097809402,0.9999999999999999,0.6814530978094021,39.0,173.0,1.0,1.0,0.0,0.0,23.6651108860136,19.23115908413377,4.0,23.6651108860136,19.23115908413377,0.0,0.0,23.0,1.000000082985026
A,20260626.0,49.0,0.0,4.0,-4.398928337639124,1.0,0.6392527635993768,0.9999999999999998,0.6392527635993769,47.0,213.0,1.0,1.0,0.0,0.0,29.616640674183106,36.90993926287258,4.0,29.616640674183106,36.90993926287258,0.0,0.0,23.0,1.000000054746508
A,20260626.0,0.0,0.0,8.0,-4.940098891998084,0.875,0.6827351644233346,0.9952942813119183,0.685963113867596,65.0,294.0,0.875,0.875,0.3535533905932738,0.7071067811865476,86.85259822565524,33.272925452231235,8.0,82.08574300654283,32.62213045786039,4.766855219112415,0.6507949943708411,23.0,1.0000000176969142
A,20260626.0,1.0,0.0,8.0,-6.444537267454383,0.875,0.777950335751446,0.993311874918898,0.7831883977174481,49.0,211.0,0.875,0.875,0.6123724356957945,0.3535533905932738,49.06195081529663,40.52509445656145,8.0,37.527537278831936,40.36152680742055,11.534413536464697,0.1635676491408944,23.0,0.9999999956993092
