protocol,split,threshold,is_tau_zero,gated_gain_db,increment_db,pass_rate
primary_ac_only_zero_shot_d,validation,0.09369086687717619,0,2.470050129078551,-5.006065601785951,0.23
primary_ac_only_zero_shot_d,test,0.09369086687717619,0,1.64634740470504,-3.4919736527349006,0.15677777777777777
primary_ac_only_zero_shot_d,validation,0.09620913190578893,0,2.3835715558082504,-5.092544175056252,0.22
primary_ac_only_zero_shot_d,test,0.09620913190578893,0,1.5790152260048982,-3.559305831435042,0.15055555555555555
primary_ac_only_zero_shot_d,validation,0.09893843841285872,0,2.2855030249583304,-5.190612705906172,0.21
primary_ac_only_zero_shot_d,test,0.09893843841285872,0,1.4842299072872254,-3.654091150152715,0.1421111111111111
primary_ac_only_zero_shot_d,validation,0.10141580665509235,0,2.184104208235188,-5.2920115226293145,0.2
primary_ac_only_zero_shot_d,test,0.10141580665509235,0,1.4253022470181005,-3.71301881042184,0.13577777777777778
primary_ac_only_zero_shot_d,validation,0.1042820596201992,0,2.101671061088154,-5.374444669776349,0.19
primary_ac_only_zero_shot_d,test,0.1042820596201992,0,1.3623421504536406,-3.7759789069862997,0.12977777777777777
primary_ac_only_zero_shot_d,validation,0.10750052391472519,0,2.009008080683077,-5.4671076501814255,0.18
primary_ac_only_zero_shot_d,test,0.10750052391472519,0,1.2887815193834962,-3.849539538056444,0.12322222222222222
primary_ac_only_zero_shot_d,validation,0.1099317351255214,0,1.9032326342208215,-5.572883096643681,0.17
primary_ac_only_zero_shot_d,test,0.1099317351255214,0,1.2443092519106578,-3.8940118055292823,0.11822222222222223
primary_ac_only_zero_shot_d,validation,0.1130777718546989,0,1.7983745421579957,-5.677741188706507,0.16
primary_ac_only_zero_shot_d,test,0.1130777718546989,0,1.1882995875126836,-3.9500214699272567,0.11222222222222222
primary_ac_only_zero_shot_d,validation,0.11663896850141295,0,1.688436304355157,-5.787679426509346,0.15
primary_ac_only_zero_shot_d,test,0.11663896850141295,0,1.1159026220053028,-4.022418435434638,0.10477777777777778
primary_ac_only_zero_shot_d,validation,0.12214524427852902,0,1.583420695843904,-5.892695035020598,0.14
primary_ac_only_zero_shot_d,test,0.12214524427852902,0,1.0225030023384154,-4.115818055101525,0.09411111111111112
primary_ac_only_zero_shot_d,validation,0.12534709921545148,0,1.469013310184205,-6.007102420680297,0.13
primary_ac_only_zero_shot_d,test,0.12534709921545148,0,0.9692036649966127,-4.169117392443328,0.08822222222222222
